case	objects	kfunc_symbol_objects	arm64_symbol_objects	x86_symbol_objects	arm64_tst_objects	arm64_csel_ne_objects	arm64_tst_relocations	arm64_csel_ne_relocations
arm64-all-disable	30	0	0	0	0	0	0	0
arm64-combined	30	27	27	0	1	1	2	2
x86-scoped	30	25	0	25	0	0	0	0
