app	setup	status	result_dir	log
otelcol-ebpf-profiler/profiling	workload_only	0	corpus/results/x86_kvm_corpus_20260523_025542_000315	corpus/results/workload_perf_otel_intloop_100khz_60s_20260522_195146/otelcol_ebpf_profiler_profiling__workload_only.log
otelcol-ebpf-profiler/profiling	ebpf_no_state	0	corpus/results/x86_kvm_corpus_20260523_030252_187353	corpus/results/workload_perf_otel_intloop_100khz_60s_20260522_195146/otelcol_ebpf_profiler_profiling__ebpf_no_state.log
