app	setup	status	result_dir	log
katran	workload_only	0	corpus/results/x86_kvm_corpus_20260523_055252_246684	corpus/results/workload_perf_katran_heavy_flags_4pktgen_60s_20260522_224855/katran__workload_only.log
katran	ebpf_no_state	0	corpus/results/x86_kvm_corpus_20260523_055952_009234	corpus/results/workload_perf_katran_heavy_flags_4pktgen_60s_20260522_224855/katran__ebpf_no_state.log
