run	instance_id	instance_type	state	launch_time_utc	terminate_time_utc	wall_seconds	wall_hours	compute_usd	ebs_usd	total_usd
initial-failed-control-r1	i-0bf2f6cfb083cea60	t4g.small	terminated	2026-06-01T00:18:59+00:00	2026-06-01T00:24:30+00:00	331.000000000	0.091944444	0.001544667	0.000322435	0.001867102
control-r1-fix	i-00ca31e5735204f59	t4g.small	terminated	2026-06-01T00:31:15+00:00	2026-06-01T00:36:54+00:00	339.000000000	0.094166667	0.001582000	0.000330228	0.001912228
treatment-r1	i-06b58b117e714c4c1	t4g.small	terminated	2026-06-01T00:38:54+00:00	2026-06-01T00:45:03+00:00	369.000000000	0.102500000	0.001722000	0.000359452	0.002081452
control-r2	i-03117a7cae42b126f	t4g.small	terminated	2026-06-01T00:48:03+00:00	2026-06-01T00:54:14+00:00	371.000000000	0.103055556	0.001731333	0.000361400	0.002092734
treatment-r2	i-0e099c846a8856016	t4g.small	terminated	2026-06-01T00:55:27+00:00	2026-06-01T01:00:49+00:00	322.000000000	0.089444444	0.001502667	0.000313668	0.001816335
control-r3	i-0a2fd3429511f57c8	t4g.small	terminated	2026-06-01T01:02:02+00:00	2026-06-01T01:08:08+00:00	366.000000000	0.101666667	0.001708000	0.000356530	0.002064530
treatment-r3	i-0a45ad6f3a515f1c9	t4g.small	terminated	2026-06-01T01:09:21+00:00	2026-06-01T01:16:07+00:00	406.000000000	0.112777778	0.001894667	0.000395495	0.002290161
TOTAL						2504.000000000	0.695555556	0.011685333	0.002439209	0.014124542
