metric	value
geomean_treatment_over_control_exec_r1	1.00117016
geomean_control_over_treatment_speedup_r1	0.998831204
geomean_treatment_over_control_exec_r2	1.0357519
geomean_control_over_treatment_speedup_r2	0.965482179
geomean_treatment_over_control_exec_r3	0.978681268
geomean_control_over_treatment_speedup_r3	1.02178312
geomean_treatment_over_control_exec_all_case_runs	1.00492806
geomean_control_over_treatment_speedup_all_case_runs	0.995096111
median_run_geomean_treatment_over_control_exec	1.00117016
independent_pairs	3
case_runs	21
geomean_treatment_over_control_wall_all_case_runs	1.00595787
median_treatment_over_control_wall_all_case_runs	0.999939367
min_treatment_over_control_wall_all_case_runs	0.856647875
max_treatment_over_control_wall_all_case_runs	1.16076014
geomean_treatment_over_control_cycles_all_case_runs	0.999885166
median_treatment_over_control_cycles_all_case_runs	1.00004376
min_treatment_over_control_cycles_all_case_runs	0.99293922
max_treatment_over_control_cycles_all_case_runs	1.00494805
