attempt	arch	case	runtime	result_ok	exec_ns	wall_exec_ns	bpf_bytecode_bytes	native_code_bytes
v2-x86-smoke	x86	prefetch_single_first_deref	native	true	37	37	0	305
v2-x86-smoke	x86	prefetch_single_first_deref	llvmbpf	true	25	31	920	941
v2-x86-smoke	x86	prefetch_single_first_deref	kernel	true	41	3999	920	510
v2-x86-smoke	x86	prefetch_packet_first_deref	native	true	1990	1990	0	355
v2-x86-smoke	x86	prefetch_packet_first_deref	llvmbpf	true	1680	1684	1080	1058
v2-x86-smoke	x86	prefetch_packet_first_deref	kernel	true	2066	6002	1080	592
v2-x86-smoke	x86	prefetch_map_page_stride	kernel	true	7926	10962	920	494
v3-x86-smoke	x86	prefetch_single_first_deref	native	true	33	33	0	305
v3-x86-smoke	x86	prefetch_single_first_deref	llvmbpf	true	25	30	920	941
v3-x86-smoke	x86	prefetch_single_first_deref	kernel	true	40	6001	936	513
v3-x86-smoke	x86	prefetch_packet_first_deref	native	true	1997	1997	0	355
v3-x86-smoke	x86	prefetch_packet_first_deref	llvmbpf	true	1685	1689	1080	1058
v3-x86-smoke	x86	prefetch_packet_first_deref	kernel	true	1985	5999	1096	595
v3-x86-smoke	x86	prefetch_map_page_stride	kernel	true	10231	17993	920	494
v3-arm64-smoke	arm64	prefetch_single_first_deref	native	true	40	40	0	304
v3-arm64-smoke	arm64	prefetch_single_first_deref	llvmbpf	true	43	48	920	1060
v3-arm64-smoke	arm64	prefetch_single_first_deref	kernel	true	69	null	936	608
v3-arm64-smoke	arm64	prefetch_packet_first_deref	native	true	2455	2455	0	328
v3-arm64-smoke	arm64	prefetch_packet_first_deref	llvmbpf	true	2111	2117	1080	1184
v3-arm64-smoke	arm64	prefetch_packet_first_deref	kernel	true	4373	null	1096	704
v3-arm64-smoke	arm64	prefetch_map_page_stride	kernel	true	14795	null	920	632
