app	setup	status	result_dir	log
cilium/agent,katran	workload_only	0	corpus/results/x86_kvm_corpus_20260523_033326_529957	corpus/results/workload_perf_network_pktgen_60s_20260522_202935/cilium_katran__workload_only.log
cilium/agent,katran	ebpf_no_state	2	corpus/results/x86_kvm_corpus_20260523_033326_529957	corpus/results/workload_perf_network_pktgen_60s_20260522_202935/cilium_katran__ebpf_no_state.log
