metric	value
exec_ns_geomean_treatment_over_control_all_case_runs	1.00367168
prog_run_wall_ns_geomean_treatment_over_control_all_case_runs	0.993156588
cycles_geomean_treatment_over_control_all_case_runs	0.999782772
