instance_id	instance_type	state	launch_time_utc	terminate_time_utc	wall_seconds	compute_usd	ebs_usd	total_usd
i-01aa22611f0614ccd	t4g.small	terminated	2026-06-01T04:46:44+00:00	2026-06-01T04:53:59+00:00	435	0.002030000	0.000423744	0.002453744
i-0283c7d0dd912fed6	t4g.small	terminated	2026-06-01T05:19:55+00:00	2026-06-01T05:24:51+00:00	296	0.001381333	0.000288341	0.001669674
i-0303e1de5c0baa2f4	t4g.small	terminated	2026-06-01T05:26:08+00:00	2026-06-01T05:31:44+00:00	336	0.001568000	0.000327306	0.001895306
i-086dfecf0a8e212c1	t4g.small	terminated	2026-06-01T04:55:58+00:00	2026-06-01T05:03:05+00:00	427	0.001992667	0.000415951	0.002408618
i-0aa28c267be5fde1b	t4g.small	terminated	2026-06-01T05:12:06+00:00	2026-06-01T05:18:41+00:00	395	0.001843333	0.000384779	0.002228113
i-0e05a0d7081fc9d0f	t4g.small	terminated	2026-06-01T05:04:26+00:00	2026-06-01T05:10:50+00:00	384	0.001792000	0.000374064	0.002166064
i-0ef856a4e21526c5c	t4g.small	terminated	2026-06-01T04:37:55+00:00	2026-06-01T04:43:57+00:00	362	0.001689333	0.000352633	0.002041967
TOTAL					2635	0.012296667	0.002566819	0.014863486
