run	benchmark	control_exec_ns_gmean	treatment_exec_ns_gmean	exec_ns_treatment_over_control	control_prog_run_wall_ns_gmean	treatment_prog_run_wall_ns_gmean	prog_run_wall_ns_treatment_over_control	control_cycles_gmean	treatment_cycles_gmean	cycles_treatment_over_control	control_native_code_bytes	treatment_native_code_bytes	native_code_bytes_delta
r1	prefetch_cacheline_dedup_scan	2322.333	2320.33329	0.999138921	256343829	249905757	0.974885012	580121402	579680509	0.999239999	1032	1040	8
r1	prefetch_full_packet_ring_scan	5381.97602	5376.96837	0.999069552	559708788	553143096	0.98826945	1.3393402e+09	1.33918709e+09	0.999885685	688	696	8
r1	prefetch_indirect_two_stage	2918.6648	2925.33284	1.00228462	316412640	309903542	0.979428452	729265860	730987663	1.00236101	760	768	8
r1	prefetch_packet_offset_guarded	4956.65615	5109.08939	1.03075324	523110111	526376836	1.00624481	1.23715545e+09	1.23299126e+09	0.996634057	720	728	8
r2	prefetch_cacheline_dedup_scan	2351.22565	2323.333	0.988136975	256318513	249900181	0.974959547	580686594	580320315	0.999369232	1032	1040	8
r2	prefetch_full_packet_ring_scan	5364.66528	5361.66627	0.99944097	556457692	549876969	0.988173904	1.33908985e+09	1.3390385e+09	0.999961652	688	696	8
r2	prefetch_indirect_two_stage	2919.99555	2925.99966	1.00205621	316303517	309893371	0.979734192	729025874	730771849	1.00239494	760	768	8
r2	prefetch_packet_offset_guarded	4953.99751	4932.99676	0.995760847	522023990	516494040	0.989406713	1.23687801e+09	1.23220277e+09	0.996220131	720	728	8
r3	prefetch_cacheline_dedup_scan	2321.33314	2342.17405	1.00897799	249890957	256405020	1.02606762	579930332	580555964	1.00107881	1032	1040	8
r3	prefetch_full_packet_ring_scan	5360.33331	5434.67689	1.01386921	549905986	556474132	1.01194413	1.3391432e+09	1.33929712e+09	1.00011494	688	696	8
r3	prefetch_indirect_two_stage	2916.98961	2928.99966	1.00411727	309845853	309900844	1.00017748	727670788	730978909	1.00454618	760	768	8
r3	prefetch_packet_offset_guarded	5036.71458	5042.08923	1.00106709	526272086	526265927	0.999988297	1.23744166e+09	1.23202886e+09	0.995625814	720	728	8
