attempt	objects	kfunc_extern_objects	kfunc_symbols	kfunc_relocations	arm64_symbols	x86_symbols	arm64_ldrh_symbols	arm64_ldr_w_symbols	arm64_ldr_x_symbols	arm64_ldrh_relocations	arm64_ldr_w_relocations	arm64_ldr_x_relocations	status
arm64-all-disable	29	0	0	0	0	0	0	0	0	0	0	0	completed
arm64-wide-load	29	23	26	62	26	0	4	21	1	11	43	8	completed
x86-wide-load	29	23	26	62	0	26	0	0	0	0	0	0	completed
