run_label	rows	time_wins	time_losses	time_neutral	cache_miss_drop_rows	low_baseline_cache_miss_rows	exec_ratio_geomean	speedup_pct_geomean
default-structural	17	3	0	14	0	17	0.988528	1.14723
degree1	1	1	0	0	1	0	0.958149	4.18508
degree2	1	1	0	0	1	0	0.967489	3.25108
degree3	1	1	0	0	1	0	0.967537	3.2463
horizon1	1	1	0	0	1	0	0.973987	2.60135
horizon2	1	1	0	0	1	0	0.961195	3.88049
horizon4	1	1	0	0	1	0	0.972508	2.74923
map-page-stride	1	0	0	1	0	0	0.994264	0.573577
mlop	1	1	0	0	1	0	0.945284	5.4716
pipeline-degree	1	1	0	0	1	0	0.969781	3.02194
pipeline-page-stride	1	1	0	0	1	0	0.968297	3.17027
spatial	1	1	0	0	1	0	0.971461	2.85392
stride256	1	0	0	1	0	0	0.999031	0.0968878
stride4096	1	0	0	1	0	0	1.00023	-0.0232781
stride64	1	0	0	1	1	0	0.998684	0.131556
upper-page-stride	1	0	0	1	0	0	0.996947	0.305296
variable-stride	1	0	0	1	1	0	0.991186	0.881359
