run_label	benchmark	runtime	sample_index	inner_repeat	expected_result	result	result_ok	retval	exec_ns	compile_ns	native_code_bytes	bpf_bytecode_bytes	cycles	instructions	cache_references	cache_misses	branches	branch_misses	task_clock_ns	perf_collected	perf_error	perf_scope	tags
control-all	prefetch_distance_0	kernel	0	10000	5236797948973314713	5236797948973314713	true	2	335	1397465	504	760	8088696	35037272	0	0	2159490	0	3200978	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_0	kernel	1	10000	5236797948973314713	5236797948973314713	true	2	329	1406806	504	760	7945343	35037347	0	0	2159505	0	3137244	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_0	kernel	2	10000	5236797948973314713	5236797948973314713	true	2	329	1415871	504	760	7930914	35035903	0	0	2159184	0	3140945	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_2	kernel	0	10000	17644988031226504103	17644988031226504103	true	2	626	1993196	656	1016	15054691	68385818	0	0	3439162	0	5864561	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_2	kernel	1	10000	17644988031226504103	17644988031226504103	true	2	627	2031167	656	1016	15104903	68387420	0	0	3439521	0	5896256	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_2	kernel	2	10000	17644988031226504103	17644988031226504103	true	2	626	1992336	656	1016	15072778	68387254	0	0	3439481	0	5870755	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_4	kernel	0	10000	1273944769105833849	1273944769105833849	true	2	929	2318610	664	1016	21027288	98476583	0	0	6641180	0	8646931	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_4	kernel	1	10000	1273944769105833849	1273944769105833849	true	2	925	2398441	664	1016	22226607	98467254	0	0	6639481	0	8621676	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_4	kernel	2	10000	1273944769105833849	1273944769105833849	true	2	854	2356335	664	1016	22238334	98465903	0	0	6639184	0	8638584	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_8	kernel	0	10000	2656538606467263818	2656538606467263818	true	2	1414	3181354	664	1016	25172902	154795600	0	0	11760899	0	14215493	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_8	kernel	1	10000	2656538606467263818	2656538606467263818	true	2	1396	3195891	664	1016	25182132	154794627	0	0	11760790	0	14041530	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_8	kernel	2	10000	2656538606467263818	2656538606467263818	true	2	1413	3161410	664	1016	25192641	154795369	0	0	11760877	0	14205156	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_16	kernel	0	10000	7931970485254346198	7931970485254346198	true	2	2544	4881505	672	1016	25177012	207472866	0	0	22002059	2539	25526977	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_16	kernel	1	10000	7931970485254346198	7931970485254346198	true	2	2550	4924778	672	1016	25153134	206912520	0	0	22038929	2650	25614384	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_16	kernel	2	10000	7931970485254346198	7931970485254346198	true	2	2543	4886041	672	1016	25192330	207647207	0	0	22001703	2411	25518814	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_32	kernel	0	10000	3173420694548969481	3173420694548969481	true	2	4911	8531672	664	1008	49615748	197299131	2804155	443	25684465	4209	49224519	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_32	kernel	1	10000	3173420694548969481	3173420694548969481	true	2	4914	8539684	664	1008	49674662	197324939	2806683	545	25686871	4207	49254006	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_distance_32	kernel	2	10000	3173420694548969481	3173420694548969481	true	2	4911	8556661	664	1008	49611542	197242595	2804506	457	25681124	4134	49225236	true		full_repeat_raw	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit
control-all	prefetch_indirect_lookup	kernel	0	10000	16342531704906166951	16342531704906166951	true	2	1582	3260660	680	1048	25160291	177156042	0	0	11761010	0	15893337	true		full_repeat_raw	memory,prefetch,indirect-lookup,new-2026-05-31,pure-jit
control-all	prefetch_indirect_lookup	kernel	1	10000	16342531704906166951	16342531704906166951	true	2	1590	3287397	680	1048	25094881	177159432	0	0	11761645	0	15982823	true		full_repeat_raw	memory,prefetch,indirect-lookup,new-2026-05-31,pure-jit
control-all	prefetch_indirect_lookup	kernel	2	10000	16342531704906166951	16342531704906166951	true	2	1588	3257778	680	1048	25191741	177155253	0	0	11761027	0	15956598	true		full_repeat_raw	memory,prefetch,indirect-lookup,new-2026-05-31,pure-jit
control-all	prefetch_indirect_two_stage	kernel	0	10000	901462245269644474	901462245269644474	true	2	2085	4669019	760	1192	25153617	216894080	0	0	17521609	716	20934364	true		full_repeat_raw	memory,prefetch,indirect-lookup,two-stage,new-2026-06-01,pure-jit
control-all	prefetch_indirect_two_stage	kernel	1	10000	901462245269644474	901462245269644474	true	2	2086	4635512	760	1192	25211773	217045822	0	0	17523604	798	20967392	true		full_repeat_raw	memory,prefetch,indirect-lookup,two-stage,new-2026-06-01,pure-jit
control-all	prefetch_indirect_two_stage	kernel	2	10000	901462245269644474	901462245269644474	true	2	2087	4635077	760	1192	25164909	216649490	0	0	17522526	922	20963265	true		full_repeat_raw	memory,prefetch,indirect-lookup,two-stage,new-2026-06-01,pure-jit
control-all	prefetch_cacheline_dedup_scan	kernel	0	10000	14518078625247753906	14518078625247753906	true	2	1684	4259043	1032	1736	25120111	197007468	0	0	11761278	0	16916605	true		full_repeat_raw	memory,prefetch,cacheline-dedup,new-2026-06-01,pure-jit
control-all	prefetch_cacheline_dedup_scan	kernel	1	10000	14518078625247753906	14518078625247753906	true	2	1685	4259725	1032	1736	25179884	197006400	0	0	11761750	0	16922574	true		full_repeat_raw	memory,prefetch,cacheline-dedup,new-2026-06-01,pure-jit
control-all	prefetch_cacheline_dedup_scan	kernel	2	10000	14518078625247753906	14518078625247753906	true	2	1686	4241133	1032	1736	25210344	197005112	0	0	11760920	0	16936046	true		full_repeat_raw	memory,prefetch,cacheline-dedup,new-2026-06-01,pure-jit
control-all	prefetch_packet_offset_guarded	kernel	0	10000	15179177712494507727	15179177712494507727	true	2	3538	6385233	720	1104	25165238	213169957	1248078	0	22756181	4701	35468456	true		full_repeat_raw	memory,prefetch,guarded-offset,new-2026-06-01,pure-jit
control-all	prefetch_packet_offset_guarded	kernel	1	10000	15179177712494507727	15179177712494507727	true	2	3539	6364390	720	1104	25142160	213083476	1251570	0	22745308	4871	35485761	true		full_repeat_raw	memory,prefetch,guarded-offset,new-2026-06-01,pure-jit
control-all	prefetch_packet_offset_guarded	kernel	2	10000	15179177712494507727	15179177712494507727	true	2	3538	6392168	720	1104	25161204	213189370	1250941	0	22751203	4755	35479185	true		full_repeat_raw	memory,prefetch,guarded-offset,new-2026-06-01,pure-jit
control-all	prefetch_full_packet_ring_scan	kernel	0	10000	1680051385401217701	1680051385401217701	true	2	3826	6839235	688	1056	25164536	216920299	3029489	0	22031687	5035	38353620	true		full_repeat_raw	memory,prefetch,packet-working-set,new-2026-06-01,pure-jit
control-all	prefetch_full_packet_ring_scan	kernel	1	10000	1680051385401217701	1680051385401217701	true	2	3758	6811728	688	1056	25070093	220537954	2860276	0	22391762	5167	37696973	true		full_repeat_raw	memory,prefetch,packet-working-set,new-2026-06-01,pure-jit
control-all	prefetch_full_packet_ring_scan	kernel	2	10000	1680051385401217701	1680051385401217701	true	2	3827	6820084	688	1056	25204544	217024798	3026370	0	22038758	5064	38363349	true		full_repeat_raw	memory,prefetch,packet-working-set,new-2026-06-01,pure-jit
control-all	prefetch_map_page_stride	kernel	0	10000	5171437513957054730	5171437513957054730	true	2	10491	18094578	632	920	116336708	510148593	8005319	320418	48306347	5130	105030003	true		full_repeat_raw	memory,prefetch,map-working-set,page-stride,new-2026-06-01,kernel-only
control-all	prefetch_map_page_stride	kernel	1	10000	5171437513957054730	5171437513957054730	true	2	10471	18097290	632	920	115811556	511573676	7965212	292647	48439477	3937	104825436	true		full_repeat_raw	memory,prefetch,map-working-set,page-stride,new-2026-06-01,kernel-only
control-all	prefetch_map_page_stride	kernel	2	10000	5171437513957054730	5171437513957054730	true	2	10420	18188867	632	920	114386802	513781907	7889547	301291	48676438	4523	104312533	true		full_repeat_raw	memory,prefetch,map-working-set,page-stride,new-2026-06-01,kernel-only
control-all	prefetch_map_indirect_page	kernel	0	10000	4561226121441376886	4561226121441376886	true	2	10786	19037150	720	1064	123999036	518747897	12064797	295958	47002624	3812	107976638	true		full_repeat_raw	memory,prefetch,map-working-set,indirect-page,new-2026-06-01,kernel-only
