run_label	policy	policy_description	benchmark	profile	max_sites	hint	control_samples	treatment_samples	result_ok	control_exec_ns_mean	control_exec_ns_stdev	treatment_exec_ns_mean	treatment_exec_ns_stdev	exec_ratio	speedup_pct	control_cycles_mean	treatment_cycles_mean	cycles_ratio	control_instructions_mean	treatment_instructions_mean	instructions_ratio	control_cache_references_mean	treatment_cache_references_mean	cache_references_ratio	control_cache_misses_mean	treatment_cache_misses_mean	cache_misses_ratio	control_task_clock_ns_mean	treatment_task_clock_ns_mean	task_clock_ratio	control_native_code_bytes_mean	treatment_native_code_bytes_mean	native_code_bytes_delta	classification
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_cacheline_dedup_scan		0	l1keep	3	3	true	1685	1	1686	1	1.00059	-0.0593472	25170113	2.52222e+07	1.00207	1.97006e+08	1.97005e+08	0.999995	0	0		0	0		16925075	1.69406e+07	1.00092	1032	1032	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_0		0	l1keep	3	3	true	331	3.4641	307.667	3.21455	0.929507	7.04935	7.98832e+06	8.0362e+06	1.00599	3.50368e+07	3.50363e+07	0.999984	0	0		0	0		3.15972e+06	3.16691e+06	1.00228	504	504	0	time_win,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_16		0	l1keep	3	3	true	2545.67	3.78594	2544.67	0.57735	0.999607	0.0392824	2.51742e+07	2.52082e+07	1.00135	2.07344e+08	2.07546e+08	1.00098	0	0		0	0		2.55534e+07	2.55361e+07	0.999324	672	672	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_2		0	l1keep	3	3	true	626.333	0.57735	577.667	0.57735	0.922299	7.77009	1.50775e+07	1.50506e+07	0.998221	6.83868e+07	6.83863e+07	0.999992	0	0		0	0		5.87719e+06	5.86869e+06	0.998553	656	656	0	time_win,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_32		0	l1keep	3	3	true	4912	1.73205	4912	0	1	0	49633984	49629917	0.999918	1.97289e+08	1.97461e+08	1.00087	2.80511e+06	2.80253e+06	0.999079	481.667	496.667	1.03114	49234587	49234459	0.999997	664	664	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_4		0	l1keep	3	3	true	902.667	42.194	853.333	0.57735	0.945347	5.46529	21830743	2.22155e+07	1.01762	9.84699e+07	9.84663e+07	0.999963	0	0		0	0		8.63573e+06	8.62549e+06	0.998814	664	664	0	time_win,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_distance_8		0	l1keep	3	3	true	1407.67	10.116	1418	2.64575	1.00734	-0.734075	2.51826e+07	2.51897e+07	1.00028	1.54795e+08	1.54798e+08	1.00002	0	0		0	0		1.41541e+07	14264481	1.0078	664	664	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_full_packet_ring_scan		0	l1keep	3	3	true	3803.67	39.5517	3801.67	36.1709	0.999474	0.0525808	25146391	2.5213e+07	1.00265	218161017	2.18736e+08	1.00264	2972045	2950840	0.992865	0	0		3.8138e+07	3.81104e+07	0.999276	688	688	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_hot_l1_load		0	l1keep	3	3	true	163.333	1.1547	163	0	0.997959	0.204082	4312946	4.28172e+06	0.992759	1.66673e+07	1.66662e+07	0.999937	0	0		0	0		1724945	1.71769e+06	0.995793	464	464	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_indirect_lookup		0	l1keep	3	3	true	1586.67	4.16333	1586.67	3.05505	1	0	25148971	25229024	1.00318	177156909	177796143	1.00361	0	0		0	0		1.59443e+07	15941126	0.999804	680	680	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_indirect_two_stage		0	l1keep	3	3	true	2086	1	2086	0	1	0	2.51768e+07	2.52156e+07	1.00154	2.16863e+08	2.17025e+08	1.00074	0	0		0	0		20955007	2.09483e+07	0.999682	760	760	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_large_stride_scan		0	l1keep	3	3	true	1953.33	2.88675	1955.33	0.57735	1.00102	-0.102389	2.5175e+07	2.52141e+07	1.00155	209836528	209835656	0.999996	0	0		0	0		19610685	1.96326e+07	1.00112	656	656	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_packet_first_deref		0	l1keep	3	3	true	2874	13	2897	1.73205	1.008	-0.800278	2.51827e+07	25207527	1.00099	2.15436e+08	214075270	0.993682	0	0		0	0		28826964	2.9059e+07	1.00805	704	704	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_packet_offset_guarded		0	l1keep	3	3	true	3538.33	0.57735	3538.67	0.57735	1.00009	-0.00942063	2.51562e+07	2.52196e+07	1.00252	213147601	2.13802e+08	1.00307	1.2502e+06	1.246e+06	0.996646	0	0		3.54778e+07	3.54833e+07	1.00016	720	720	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_permuted_index_scan		0	l1keep	3	3	true	342	0	342	0	1	0	8.95021e+06	8942739	0.999166	44727391	4.4726e+07	0.999969	0	0		0	0		3.52053e+06	3.51383e+06	0.998097	600	600	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_sequential_scan		0	l1keep	3	3	true	295.333	0.57735	295.333	0.57735	1	0	7.72238e+06	7.72099e+06	0.99982	35706426	3.57071e+07	1.00002	0	0		0	0		3.04854e+06	3.04719e+06	0.999558	520	520	0	time_neutral,low_baseline_cache_misses
default-structural	structural-default	distance/indirect/packet/default no-profile structural prefetch	prefetch_single_first_deref		0	l1keep	3	3	true	51	0	51	0	1	0	1.39584e+06	1.38662e+06	0.993395	5.22662e+06	5236743	1.00194	0	0		0	0		606046	598130	0.986938	600	608	8	time_neutral,low_baseline_cache_misses
degree1	profile-degree1	degree 1 on same degree123 case	prefetch_degree123_page_stride	prefetch-degree123-page-stride-degree1-profile-pc244-r8.json	1	l1keep	3	3	true	13954.3	17.2143	13370.3	83.7695	0.958149	4.18508	180353438	1.80399e+08	1.00025	844915252	8.19501e+08	0.969921	39857777	4.1619e+07	1.04419	1440755	9751	0.00676798	1.39639e+08	1.3379e+08	0.958112	1416	1424	8	time_win,cache_miss_drop
degree2	profile-degree2	degree 2 on same degree123 case	prefetch_degree123_page_stride	prefetch-degree123-page-stride-degree2-profile-pc244-r8-pc258-r1.json	2	l1keep	3	3	true	13954.3	17.2143	13500.7	5.03322	0.967489	3.25108	180353438	1.80432e+08	1.00044	844915252	8.29186e+08	0.981384	39857777	4.11948e+07	1.03354	1440755	10543.3	0.00731792	1.39639e+08	1.35103e+08	0.967515	1416	1424	8	time_win,cache_miss_drop
degree3	profile-degree3	degree 3 on same degree123 case	prefetch_degree123_page_stride	prefetch-degree123-page-stride-degree3-profile-pc244-r8-pc258-r1-pc275-r2.json	3	l1keep	3	3	true	13954.3	17.2143	13501.3	30.6159	0.967537	3.2463	180353438	1.80408e+08	1.0003	844915252	831805985	0.984485	39857777	4.11895e+07	1.03341	1440755	14651.7	0.0101694	1.39639e+08	1.35105e+08	0.967525	1416	1432	16	time_win,cache_miss_drop
horizon1	profile-horizon1	pipeline horizon 1	prefetch_pipeline_horizon1_page_stride	prefetch-pipeline-horizon1-page-stride-profile-pc24-r9.json	1	l1keep	3	3	true	12942	92.6769	12605.3	4.04145	0.973987	2.60135	1.79089e+08	170900055	0.954276	7.48249e+08	7.33775e+08	0.980656	3.34893e+07	3.43706e+07	1.02632	1.54613e+06	9931.67	0.00642357	1.29513e+08	1.26186e+08	0.974316	1360	1360	0	time_win,cache_miss_drop
horizon2	profile-horizon2	pipeline horizon 2	prefetch_pipeline_horizon2_page_stride	prefetch-pipeline-horizon2-page-stride-profile-pc23-r6.json	1	l1keep	3	3	true	13477.7	7.23418	12954.7	3.05505	0.961195	3.88049	180403221	1.79892e+08	0.997167	8.05357e+08	7.81923e+08	0.970903	3.97425e+07	4.13533e+07	1.04053	1.48455e+06	14292	0.00962716	134854948	129659958	0.961477	1400	1408	8	time_win,cache_miss_drop
horizon4	profile-horizon4	pipeline horizon 4	prefetch_pipeline_horizon4_page_stride	prefetch-pipeline-horizon4-page-stride-profile-pc23-r9.json	1	l1keep	3	3	true	12585.3	52.7763	12239.3	46.0688	0.972508	2.74923	1.70549e+08	1.61385e+08	0.946271	7.08568e+08	6.93217e+08	0.978334	37694421	38719448	1.02719	1.6008e+06	17394.7	0.0108662	125966860	1.2251e+08	0.972556	1328	1328	0	time_win,cache_miss_drop
map-page-stride	profile-map-page-stride	map-value page-stride future pointer	prefetch_map_page_stride	prefetch-map-page-stride-profile-pc52.json	1	l1keep	3	3	true	10460.7	36.6106	10400.7	36.6652	0.994264	0.573577	1.15512e+08	1.14e+08	0.986915	5.11835e+08	516036280	1.00821	7.95336e+06	7.84687e+06	0.986611	304785	293968	0.964509	1.04723e+08	1.04127e+08	0.994313	632	640	8	time_neutral
mlop	profile-mlop	MLP-like index-field future pointer	prefetch_mlop_index_field	prefetch-mlop-index-field-profile-pc67-r6.json	1	l1keep	3	3	true	13500	40.7063	12761.3	48.7887	0.945284	5.4716	1.80451e+08	175053990	0.970091	772202561	7.3922e+08	0.957288	29067987	3.07542e+07	1.05801	1527440	29316.3	0.0191931	135086902	127730200	0.945541	1344	1352	8	time_win,cache_miss_drop
pipeline-degree	profile-pipeline-degree	pipeline degree 3 profile-fed sites	prefetch_pipeline_degree_page_stride	prefetch-pipeline-degree-page-stride-profile-pc259-r5-pc273-r3-pc287-r0.json	3	l1keep	3	3	true	14858	4	14409	23.388	0.969781	3.02194	1.80308e+08	1.80402e+08	1.00052	8.54896e+08	8.90125e+08	1.04121	3.32989e+07	3.43352e+07	1.03112	1.35465e+06	13733.3	0.0101379	148699797	1.44196e+08	0.96971	1512	1528	16	time_win,cache_miss_drop,instruction_overhead
pipeline-page-stride	profile-pipeline-page-stride	pipeline next-iteration future pointer	prefetch_pipeline_page_stride	prefetch-pipeline-page-stride-profile-pc45-r1.json	1	l1keep	3	3	true	11849.7	36.5285	11474	1	0.968297	3.17027	1.5155e+08	1.41744e+08	0.935296	6.30521e+08	611915486	0.970491	4.0031e+07	41316588	1.03211	1649502	11328	0.00686753	1.18627e+08	1.14872e+08	0.968342	1280	1280	0	time_win,cache_miss_drop
spatial	profile-spatial	spatial page footprint multiple future sites	prefetch_spatial_page_footprint	prefetch-spatial-page-footprint-profile-pc333-r0-r7-r5.json	3	l1keep	3	3	true	16270	23.0651	15805.7	6.02771	0.971461	2.85392	1.88345e+08	1.80263e+08	0.957085	888556487	921782658	1.03739	7.20536e+07	67731189	0.940011	3316317	1524.67	0.000459747	1.6285e+08	1.58212e+08	0.971516	1696	1704	8	time_win,cache_miss_drop,instruction_overhead
stride256	profile-stride256	fixed stride 256B future pointer	prefetch_stride256_page_stride	prefetch-stride256-page-stride-profile-pc51-r7.json	1	l1keep	3	3	true	11353.3	0.57735	11342.3	6.65833	0.999031	0.0968878	1.38606e+08	1.38222e+08	0.997228	5.66152e+08	5.67816e+08	1.00294	3.09502e+07	3.09669e+07	1.00054	26697	21900.3	0.820329	113654345	1.13561e+08	0.999181	1200	1208	8	time_neutral
stride4096	profile-stride4096	fixed stride 4096B future pointer	prefetch_stride4096_page_stride	prefetch-stride4096-page-stride-profile-pc239-r0.json	1	l1keep	3	3	true	11455.7	23.6291	11458.3	2.51661	1.00023	-0.0232781	141301157	1.41374e+08	1.00052	5.91312e+08	5.93876e+08	1.00434	3.06762e+07	30659949	0.99947	28186.7	27757.3	0.984768	114662907	114692159	1.00026	1248	1256	8	time_neutral
stride64	profile-stride64	fixed stride 64B future pointer	prefetch_stride64_page_stride	prefetch-stride64-page-stride-profile-pc54-r7.json	1	l1keep	3	3	true	11402	0	11387	1	0.998684	0.131556	1.39885e+08	1.3961e+08	0.99803	5.73693e+08	5.75235e+08	1.00269	30810791	3.08469e+07	1.00117	1511.67	1148	0.759427	1.14141e+08	1.13967e+08	0.998473	1208	1216	8	time_neutral,cache_miss_drop
upper-page-stride	profile-upper-page-stride	upper-bound page-stride future pointer	prefetch_upper_page_stride	prefetch-upper-page-stride-profile-pc62.json	1	l1keep	3	3	true	11901	2.64575	11864.7	11.9304	0.996947	0.305296	1.5286e+08	1.51877e+08	0.99357	6.15833e+08	616227705	1.00064	36389482	3.65129e+07	1.00339	1.65773e+06	1648055	0.994163	1.19129e+08	1.18759e+08	0.996895	1256	1264	8	time_neutral
variable-stride	profile-variable-stride	variable-stride future pointer	prefetch_variable_stride_page_stride	prefetch-variable-stride-page-stride-profile-pc44-r4.json	1	l1keep	3	3	true	13615.3	11.9304	13495.3	2.3094	0.991186	0.881359	1.8043e+08	180360825	0.999619	8.08884e+08	8.06304e+08	0.996811	3.03219e+07	3.05553e+07	1.0077	531827	12846	0.0241545	1.36235e+08	1.35081e+08	0.991529	1384	1384	0	time_neutral,cache_miss_drop
