arch	control_mean_ns	treatment_mean_ns	mean_ratio	control_median_ns	treatment_median_ns	median_ratio	paired_geomean_ratio	nominal_speedup_pct	ratios	control_native_bytes	treatment_native_bytes
x86	8809.2	8792.4	0.9980929028742677	8775	8700	0.9914529914529915	0.9980181476553911	0.19857878829807607	0.998851,1.032063,0.972502,1.006268,0.981479	1004	1007
arm64	16603.2	16725.4	1.0073600269827503	16518	16694	1.010655042983412	1.0073892363517178	-0.7335036036793641	0.989581,1.019252,1.017307,1.002921,1.008173	1256	1264
