benchmark,category,family,level,compile_ns,object_open_ns,object_load_ns,recompile_syscall_ns,policy_bytes,recompile_total_sites,xlated_prog_len,jited_prog_len
log2_fold,alu-mix,log2-fold,medium,7472573,2263986,5186195,22392,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7960681,2706133,5233412,21136,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7132707,1867635,5243299,21773,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7818623,2484700,5312840,21083,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7115432,1878426,5214569,22437,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7283722,2048870,5213692,21160,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7265733,2058272,5186210,21251,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7663513,2437911,5203750,21852,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,7203235,2002009,5179572,21654,452,3,1016,538
log2_fold,alu-mix,log2-fold,medium,6999232,1778488,5198667,22077,452,3,1016,538
cmov_select,control-flow,select-diamond,repeated-cmov,5969739,2078180,3837946,53613,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6710111,2799019,3862175,48917,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6409915,2572020,3788279,49616,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6410330,2569362,3792334,48634,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6332090,2507493,3775928,48669,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6062255,2247242,3764651,50362,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6569197,2728987,3791869,48341,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6428678,2597876,3781890,48912,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6430341,2588040,3786449,55852,164,1,4272,2506
cmov_select,control-flow,select-diamond,repeated-cmov,6535732,2733970,3753413,48349,164,1,4272,2506
cmov_dense,control-flow,select-diamond,dense-32,2466837,2050525,352947,63365,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,3039701,2607707,368399,63595,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2634948,2223693,346617,64638,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2955277,2556841,333899,64537,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2942817,2531501,343737,67579,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,3240961,2851309,327097,62555,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2491784,2108630,320331,62823,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2895093,2435056,395136,64901,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2763416,2356118,343457,63841,4504,26,4856,2370
cmov_dense,control-flow,select-diamond,dense-32,2905660,2473610,368522,63528,4504,26,4856,2370
bounds_ladder,memory-local,bounds-density,high,3639222,2452864,1166594,19764,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3180050,1969536,1191257,19257,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3298101,2112074,1165853,20174,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3000927,1814599,1165914,20414,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3003496,1793708,1188836,20952,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3024956,1812609,1191608,20739,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3335930,2112887,1202655,20388,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3142284,1941415,1179807,21062,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3057610,1870801,1166939,19870,312,2,1440,758
bounds_ladder,memory-local,bounds-density,high,3324712,2135797,1168439,20476,312,2,1440,758
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,8867753,1724498,7113171,30084,296,2,2136,1076
mixed_alu_mem,alu-mix,mixed-alu-mem,interleaved,9176857,2034366,7112453,30038,296,2,2136,1076
