prog_id	prog_name	program_status	pass_status	bpfopt_ms	rejit_syscall_ms	orig_insns	sites_matched	sites_applied	sites_skipped	diagnostics_len	skipped_sites_len	error
201	trace_security_	ok	ok	145	227	1890	64	0	64	0	64	
202	trace_device_ad	ok	ok	186	192	1793	98	0	98	0	98	
203	trace___registe	ok	ok	9	230	29	0	0	0	0	0	
204	trace_ret__regi	ok	ok	190	181	1823	102	0	102	0	102	
205	trace_do_splice	ok	ok	10	175	29	0	0	0	0	0	
206	trace_ret_do_sp	ok	ok	485	214	4019	90	0	90	0	90	
207	tracepoint__mod	ok	ok	401	59	4025	100	0	100	0	100	
208	tracepoint__mod	ok	ok	187	15	1880	104	0	104	0	104	
209	trace_do_init_m	ok	ok	12	186	29	0	0	0	0	0	
210	trace_ret_do_in	ok	ok	380	210	3016	198	0	198	0	198	
211	trace_load_elf_	ok	ok	334	407	3744	69	0	69	0	69	
212	trace_security_	ok	ok	258	199	1825	99	0	99	0	99	
213	tracepoint__tas	ok	ok	180	18	1755	98	0	98	0	98	
214	trace_security_	ok	ok	151	199	2023	60	0	60	0	60	
215	trace_kallsyms_	ok	ok	10	204	29	0	0	0	0	0	
216	trace_ret_kalls	ok	ok	189	191	1751	96	0	96	0	96	
217	trace_do_sigact	ok	ok	262	184	2044	111	0	111	0	111	
218	trace_vfs_utime	ok	ok	355	214	3739	82	0	82	0	82	
219	trace_utimes_co	ok	ok	423	41	3739	82	0	82	0	82	
220	trace_do_trunca	ok	ok	127	187	1965	83	0	83	0	83	
221	trace_fd_instal	ok	ok	381	210	3313	88	0	88	0	88	
222	trace_filp_clos	ok	ok	413	189	3301	88	0	88	0	88	
223	trace_file_upda	ok	ok	12	234	111	0	0	0	0	0	
224	trace_ret_file_	ok	ok	456	291	3852	74	0	74	0	74	
225	trace_file_modi	ok	ok	16	212	113	0	0	0	0	0	
226	trace_ret_file_	ok	ok	343	213	3825	57	0	57	0	57	
227	trace_inotify_f	ok	ok	9	0	29	0	0	0	0	0	
228	trace_ret_inoti	ok	ok	417	36	3669	79	0	79	0	79	
229	process_execute	ok	ok	169	19	2441	13	0	13	0	13	
230	trace_exec_binp	ok	ok	438	224	3518	92	0	92	0	92	
231	trace_security_	ok	ok	393	196	3549	82	0	82	0	82	
232	trace_execute_f	ok	ok	1133	636	4888	280	0	280	0	280	
233	trace_security_	ok	ok	331	175	3741	82	0	82	0	82	
234	trace_set_fs_pw	ok	ok	399	238	3697	100	0	100	0	100	
235	trace_security_	ok	ok	169	176	1812	100	0	100	0	100	
236	trace_security_	ok	ok	160	178	1799	96	0	96	0	96	
237	trace_chmod_com	ok	ok	340	186	3567	76	0	76	0	76	
238	trace_security_	ok	ok	1150	401	9459	152	0	152	0	152	
239	syscall_checker	ok	ok	420	77	4718	184	0	184	0	184	
240	trace_security_	ok	ok	145	199	1965	55	0	55	0	55	
241	trace_sock_allo	ok	ok	29	212	76	0	0	0	0	0	
242	trace_ret_sock_	ok	ok	178	260	1681	98	0	98	0	98	
243	trace_security_	ok	ok	11	190	69	0	0	0	0	0	
244	trace_security_	ok	ok	160	222	1726	96	0	96	0	96	
245	trace_security_	ok	ok	234	182	1726	96	0	96	0	96	
246	cgroup_bpf_run_	ok	ok	57	179	1100	15	0	15	0	15	
248	cgroup_skb_ingr	ok	ok	841	63	3602	671	0	671	0	671	
249	cgroup_skb_egre	ok	ok	980	67	3602	671	0	671	0	671	
250	cgroup_mkdir_si	ok	ok	40	1	200	12	0	12	0	12	
251	cgroup_rmdir_si	ok	ok	27	1	195	12	0	12	0	12	
252	empty_kprobe	ok	ok	17	142	2	0	0	0	0	0	
253	tracepoint__exe	ok	ok	2781	176	11827	592	0	592	0	592	
254	lsm_file_open_t	ok	ok	127	15	1659	88	0	88	0	88	
255	uprobe__feature	ok	ok	45	177	752	21	0	21	0	21	
256	uprobe__feature	ok	ok	49	2	454	6	0	6	0	6	
257	uprobe__feature	ok	ok	46	2	454	6	0	6	0	6	
258	uprobe__feature	ok	ok	25	2	454	6	0	6	0	6	
91	tracepoint__raw	ok	ok	29	0	29	1	0	1	0	1	
92	sys_enter_init	ok	ok	26	2	528	2	0	2	0	2	
93	sys_enter_submi	ok	ok	475	46	3717	88	0	88	0	88	
94	tracepoint__raw	ok	ok	19	0	36	1	0	1	0	1	
95	sys_exit_init	ok	ok	23	1	479	2	0	2	0	2	
96	sys_exit_submit	ok	ok	302	62	2548	131	0	131	0	131	
97	trace_sys_enter	ok	ok	152	20	1698	91	0	91	0	91	
98	trace_sys_exit	ok	ok	189	38	1705	91	0	91	0	91	
99	trace_ptrace	ok	ok	25	173	506	2	0	2	0	2	
