run	instance_id	launch_utc	terminate_observed_utc	wall_minutes	compute_usd	ebs_usd	total_usd
failed-smoke	i-09b35a08fedbe4c45	2026-06-01T07:13:27+00:00	2026-06-01T07:18:42.217459+00:00	5.25	0.001471	0.000307	0.001778
smoke2	i-02e7c68e290b30c05	2026-06-01T07:27:18+00:00	2026-06-01T07:32:48.429907+00:00	5.51	0.001542	0.000322	0.001864
control	i-049cebb53720b8964	2026-06-01T07:34:51+00:00	2026-06-01T07:42:00.873592+00:00	7.16	0.002006	0.000419	0.002425
treatment	i-0a270c14456ccb67c	2026-06-01T07:43:36+00:00	2026-06-01T07:51:58.488703+00:00	8.37	0.002345	0.000489	0.002834
TOTAL					0.007364	0.001537	0.008901
