object	total_helper_calls	strict_danger_helpers	helper_counts
corpus/build/bcc/libbpf-tools/javagc.bpf.o	32	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:4, probe_read_kernel:2, probe_read_user:1
corpus/build/bcc/libbpf-tools/memleak.bpf.o	152	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:17, probe_read_kernel:12, probe_read_user:1
corpus/build/opentelemetry-ebpf-profiler/native_stack_trace.bpf.o	166	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:2, probe_read_kernel:2, probe_read_user:10
corpus/build/tetragon/bpf_generic_kprobe.bpf.o	930	ktime_get_ns,override_return,probe_read_kernel	ktime_get_ns:1, override_return:1, probe_read_kernel:13
corpus/build/tetragon/bpf_generic_lsm_core.bpf.o	3197	ktime_get_ns,probe_read_kernel,send_signal	ktime_get_ns:5, probe_read_kernel:17, send_signal:1
corpus/build/tetragon/bpf_generic_uprobe.bpf.o	959	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:1, probe_read_kernel:13, probe_read_user:1
corpus/build/tetragon/bpf_generic_usdt.bpf.o	862	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:1, probe_read_kernel:53, probe_read_user:10
corpus/build/tracee/tracee.bpf.o	34080	ktime_get_ns,probe_read_kernel,probe_read_user	ktime_get_ns:168, probe_read_kernel:21732, probe_read_user:12
corpus/build/KubeArmor/enforcer.bpf.o	2242	ktime_get_ns,probe_read_kernel	ktime_get_ns:12, probe_read_kernel:882
corpus/build/KubeArmor/protectproc.bpf.o	387	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:274
corpus/build/KubeArmor/system_monitor.bpf.o	26829	ktime_get_ns,probe_read_kernel	ktime_get_ns:53, probe_read_kernel:1532
corpus/build/bcc/libbpf-tools/bindsnoop.bpf.o	28	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:13
corpus/build/bcc/libbpf-tools/biolatency.bpf.o	42	ktime_get_ns,probe_read_kernel	ktime_get_ns:5, probe_read_kernel:25
corpus/build/bcc/libbpf-tools/biosnoop.bpf.o	52	ktime_get_ns,probe_read_kernel	ktime_get_ns:5, probe_read_kernel:21
corpus/build/bcc/libbpf-tools/biostacks.bpf.o	40	ktime_get_ns,probe_read_kernel	ktime_get_ns:5, probe_read_kernel:12
corpus/build/bcc/libbpf-tools/biotop.bpf.o	54	ktime_get_ns,probe_read_kernel	ktime_get_ns:4, probe_read_kernel:16
corpus/build/bcc/libbpf-tools/cpudist.bpf.o	20	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:6
corpus/build/bcc/libbpf-tools/drsnoop.bpf.o	20	ktime_get_ns,probe_read_kernel	ktime_get_ns:4, probe_read_kernel:2
corpus/build/bcc/libbpf-tools/execsnoop.bpf.o	135	probe_read_kernel,probe_read_user	probe_read_kernel:2, probe_read_user:60
corpus/build/bcc/libbpf-tools/exitsnoop.bpf.o	10	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:4
corpus/build/bcc/libbpf-tools/filelife.bpf.o	43	ktime_get_ns,probe_read_kernel	ktime_get_ns:4, probe_read_kernel:15
corpus/build/bcc/libbpf-tools/fsslower.bpf.o	37	ktime_get_ns,probe_read_kernel	ktime_get_ns:9, probe_read_kernel:6
corpus/build/bcc/libbpf-tools/gethostlatency.bpf.o	10	ktime_get_ns,probe_read_user	ktime_get_ns:2, probe_read_user:1
corpus/build/bcc/libbpf-tools/hardirqs.bpf.o	18	ktime_get_ns,probe_read_kernel	ktime_get_ns:3, probe_read_kernel:1
corpus/build/bcc/libbpf-tools/klockstat.bpf.o	390	ktime_get_ns,probe_read_kernel	ktime_get_ns:59, probe_read_kernel:6
corpus/build/bcc/libbpf-tools/ksnoop.bpf.o	23	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:6
corpus/build/bcc/libbpf-tools/mountsnoop.bpf.o	38	ktime_get_ns,probe_read_kernel	ktime_get_ns:7, probe_read_kernel:3
corpus/build/bcc/libbpf-tools/offcputime.bpf.o	24	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:11
corpus/build/bcc/libbpf-tools/opensnoop.bpf.o	82	probe_read_kernel,probe_read_user	probe_read_kernel:30, probe_read_user:1
corpus/build/bcc/libbpf-tools/runqlat.bpf.o	35	ktime_get_ns,probe_read_kernel	ktime_get_ns:6, probe_read_kernel:13
corpus/build/bcc/libbpf-tools/runqslower.bpf.o	29	ktime_get_ns,probe_read_kernel	ktime_get_ns:6, probe_read_kernel:10
corpus/build/bcc/libbpf-tools/syscount.bpf.o	14	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:1
corpus/build/bcc/libbpf-tools/tcpconnect.bpf.o	38	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:12
corpus/build/bcc/libbpf-tools/tcpconnlat.bpf.o	29	ktime_get_ns,probe_read_kernel	ktime_get_ns:5, probe_read_kernel:8
corpus/build/bcc/libbpf-tools/tcplife.bpf.o	32	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:19
corpus/build/bcc/libbpf-tools/tcppktlat.bpf.o	29	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:12
corpus/build/bcc/libbpf-tools/tcpstates.bpf.o	12	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:3
corpus/build/bcc/libbpf-tools/tcptracer.bpf.o	77	ktime_get_ns,probe_read_kernel	ktime_get_ns:3, probe_read_kernel:45
corpus/build/bcc/libbpf-tools/wakeuptime.bpf.o	12	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:1
corpus/build/calico/from_hep_debug.bpf.o	1118	ktime_get_ns,skb_store_bytes	ktime_get_ns:15, skb_store_bytes:7
corpus/build/calico/from_nat_debug.bpf.o	956	ktime_get_ns,skb_store_bytes	ktime_get_ns:15, skb_store_bytes:7
corpus/build/calico/from_wep_debug.bpf.o	984	ktime_get_ns,skb_store_bytes	ktime_get_ns:16, skb_store_bytes:7
corpus/build/calico/to_hep_debug.bpf.o	1227	ktime_get_ns,skb_store_bytes	ktime_get_ns:17, skb_store_bytes:7
corpus/build/calico/to_nat_debug.bpf.o	1220	ktime_get_ns,skb_store_bytes	ktime_get_ns:17, skb_store_bytes:7
corpus/build/calico/to_wep_debug.bpf.o	769	ktime_get_ns,skb_store_bytes	ktime_get_ns:16, skb_store_bytes:7
corpus/build/cilium/bpf_lxc.bpf.o	1648	ktime_get_ns,skb_store_bytes	ktime_get_ns:89, skb_store_bytes:115
corpus/build/cilium/bpf_overlay.bpf.o	1194	ktime_get_ns,skb_store_bytes	ktime_get_ns:75, skb_store_bytes:100
corpus/build/cilium/bpf_xdp.bpf.o	682	ktime_get_ns,xdp_adjust_head	ktime_get_ns:57, xdp_adjust_head:9
corpus/build/coroot-node-agent/ebpf.bpf.o	1650	ktime_get_ns,probe_read_kernel	ktime_get_ns:47, probe_read_kernel:1
corpus/build/datadog-agent/oom-kill-kern.bpf.o	19	ktime_get_ns,probe_read_kernel	ktime_get_ns:1, probe_read_kernel:14
corpus/build/katran/balancer.bpf.o	88	ktime_get_ns,xdp_adjust_head	ktime_get_ns:8, xdp_adjust_head:4
corpus/build/libbpf-bootstrap/examples/c/bootstrap.bpf.o	21	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:5
corpus/build/libbpf-bootstrap/examples/c/bootstrap_legacy.bpf.o	19	ktime_get_ns,probe_read_kernel	ktime_get_ns:2, probe_read_kernel:5
corpus/build/libbpf-bootstrap/examples/c/usdt.bpf.o	15	probe_read_kernel,probe_read_user	probe_read_kernel:2, probe_read_user:1
