arch	sample	sites_matched	sites_applied	insn_delta	events
x86	prefetch_map_page_stride__kernel__sample00	1	1	2	null
x86	prefetch_map_page_stride__kernel__sample01	1	1	2	null
x86	prefetch_map_page_stride__kernel__sample02	1	1	2	null
x86	prefetch_map_page_stride__kernel__sample03	1	1	2	null
x86	prefetch_map_page_stride__kernel__sample04	1	1	2	null
arm64	prefetch_map_page_stride__kernel__sample00	1	1	2	null
arm64	prefetch_map_page_stride__kernel__sample01	1	1	2	null
arm64	prefetch_map_page_stride__kernel__sample02	1	1	2	null
arm64	prefetch_map_page_stride__kernel__sample03	1	1	2	null
arm64	prefetch_map_page_stride__kernel__sample04	1	1	2	null
