arch	case	result_dir	sample_index	exec_ns	wall_exec_ns	exec_cycles	bpf_bytes	native_bytes	result	retval
x86	control	code/micro/results/aws_x86_micro_20260602_055006_955057	0	10728	13999	34997	920	494	5171437513957054730	2
x86	control	code/micro/results/aws_x86_micro_20260602_055006_955057	1	7880	15008	37521	920	494	5171437513957054730	2
x86	control	code/micro/results/aws_x86_micro_20260602_055006_955057	2	7853	12985	32463	920	494	5171437513957054730	2
x86	control	code/micro/results/aws_x86_micro_20260602_055006_955057	3	9955	15015	37538	920	494	5171437513957054730	2
x86	control	code/micro/results/aws_x86_micro_20260602_055006_955057	4	10466	13999	34998	920	494	5171437513957054730	2
x86	treatment	code/micro/results/aws_x86_micro_20260602_055621_359189	0	10477	17994	44986	936	498	5171437513957054730	2
x86	treatment	code/micro/results/aws_x86_micro_20260602_055621_359189	1	7945	12999	32498	936	498	5171437513957054730	2
x86	treatment	code/micro/results/aws_x86_micro_20260602_055621_359189	2	7836	13998	34996	936	498	5171437513957054730	2
x86	treatment	code/micro/results/aws_x86_micro_20260602_055621_359189	3	7909	12993	32482	936	498	5171437513957054730	2
x86	treatment	code/micro/results/aws_x86_micro_20260602_055621_359189	4	7918	12995	32487	936	498	5171437513957054730	2
arm64	control	code/micro/results/aws_arm64_micro_20260602_060355_842916	0	15550			920	632	5171437513957054730	2
arm64	control	code/micro/results/aws_arm64_micro_20260602_060355_842916	1	14034			920	632	5171437513957054730	2
arm64	control	code/micro/results/aws_arm64_micro_20260602_060355_842916	2	14672			920	632	5171437513957054730	2
arm64	control	code/micro/results/aws_arm64_micro_20260602_060355_842916	3	14140			920	632	5171437513957054730	2
arm64	control	code/micro/results/aws_arm64_micro_20260602_060355_842916	4	14168			920	632	5171437513957054730	2
arm64	treatment	code/micro/results/aws_arm64_micro_20260602_061059_543563	0	14030			936	640	5171437513957054730	2
arm64	treatment	code/micro/results/aws_arm64_micro_20260602_061059_543563	1	14002			936	640	5171437513957054730	2
arm64	treatment	code/micro/results/aws_arm64_micro_20260602_061059_543563	2	14015			936	640	5171437513957054730	2
arm64	treatment	code/micro/results/aws_arm64_micro_20260602_061059_543563	3	14037			936	640	5171437513957054730	2
arm64	treatment	code/micro/results/aws_arm64_micro_20260602_061059_543563	4	14024			936	640	5171437513957054730	2
