attempt	instance_id	launch_time_utc	terminate_observed_utc	aws_wall_seconds	local_command_start	local_command_end
selected-packet-record-bounds-window	i-05d375774d4eb9834	2026-05-25T21:16:27Z	2026-05-25T21:21:15Z	288	2026-05-25T17:15:42-04:00	2026-05-25T17:21:15-04:00
full-micro	i-002a8c1f872a01d78	2026-05-25T21:23:13Z	2026-05-25T21:28:39Z	326	2026-05-25T17:22:36-04:00	2026-05-25T17:28:39-04:00
