attempt	benchmark	runtime	expected	result	ok	exec_ns	compile_ns
selected-packet-record-bounds-window	packet_record_bounds_window	native	1610777047308888911	1610777047308888911	true	163	1875562
selected-packet-record-bounds-window	packet_record_bounds_window	kernel	1610777047308888911	1610777047308888911	true	215	20783262
