group	result_dir	status	benchmarks	runtimes	samples	failed_samples
baseline	aws_arm64_micro_20260526_020534_734453	completed	30	kernel,native	180	0
control-disabled	aws_arm64_micro_20260526_021533_153999	completed	30	kernel,native	180	0
treatment-csel-only	aws_arm64_micro_20260526_022633_527370	completed	30	kernel,native	180	0
