benchmark	runtime	control_ns	treatment_ns	treatment_over_control	control_bpf_bytes	treatment_bpf_bytes	control_native_bytes	treatment_native_bytes
csel_select64	kernel	29	31	1.0689655172413792	1048	1072	608	592
csel_select64	native	4	5	1.25	0	0	92	92
