app	setup	exit_code	status	artifact	elapsed_s
bcc/set	workload_only	0	ok	corpus/results/x86_kvm_corpus_20260522_211742_883689	203
bcc/set	ebpf_no_state	0	ok	corpus/results/x86_kvm_corpus_20260522_212048_090465	206
