benchmark	runtime	baseline_ns	control_disabled_ns	treatment_rev_extr_ns	control_over_baseline	treatment_over_control	treatment_over_baseline	treatment_kfunc_symbols
bcc_runqlat_log2_histogram_bucket	kernel	3985	3984	3987	0.999749	1.000753	1.000502	0
bcc_runqlat_log2_histogram_bucket	native	2214	2215	2214	1.000452	0.999549	1.000000	0
bcc_tcpconnect_ipv4_tuple_filter	kernel	322	320	315	0.993789	0.984375	0.978261	1
bcc_tcpconnect_ipv4_tuple_filter	native	151	149	150	0.986755	1.006711	0.993377	1
bitmap_popcount_scan	kernel	2304	2304	2287	1.000000	0.992622	0.992622	0
bitmap_popcount_scan	native	1612	1612	1612	1.000000	1.000000	1.000000	0
bpf_local_call_fanout_dispatch	kernel	326	325	333	0.996933	1.024615	1.021472	0
bpf_local_call_fanout_dispatch	native	115	114	117	0.991304	1.026316	1.017391	0
bpftrace_comm_key_fnv_hash	kernel	1656	1659	1670	1.001812	1.006631	1.008454	0
bpftrace_comm_key_fnv_hash	native	1287	1346	1293	1.045843	0.960624	1.004662	0
bpftrace_string_search_prefix_scan	kernel	513	512	511	0.998051	0.998047	0.996101	1
bpftrace_string_search_prefix_scan	native	352	357	362	1.014205	1.014006	1.028409	1
cgroup_skb_hash_chain	kernel	1039	1040	1040	1.000962	1.000000	1.000962	0
cgroup_skb_hash_chain	native	421	421	460	1.000000	1.092637	1.092637	0
cilium_ct_nat_tuple_rewrite	kernel	475	474	459	0.997895	0.968354	0.966316	1
cilium_ct_nat_tuple_rewrite	native	197	197	201	1.000000	1.020305	1.020305	1
cilium_policy_guard_tree_filter	kernel	244	243	242	0.995902	0.995885	0.991803	0
cilium_policy_guard_tree_filter	native	124	124	125	1.000000	1.008065	1.008065	0
cilium_socket_lb_service_select	kernel	1179	1056	1035	0.895674	0.980114	0.877863	0
cilium_socket_lb_service_select	native	329	334	346	1.015198	1.035928	1.051672	0
flow_5tuple_rss_hash	kernel	48	47	38	0.979167	0.808511	0.791667	1
flow_5tuple_rss_hash	native	18	18	19	1.000000	1.055556	1.055556	1
flow_record_field_scan	kernel	186	185	186	0.994624	1.005405	1.000000	0
flow_record_field_scan	native	107	107	107	1.000000	1.000000	1.000000	0
katran_lb_consistent_hash_select	kernel	61	61	58	1.000000	0.950820	0.950820	3
katran_lb_consistent_hash_select	native	28	27	27	0.964286	1.000000	0.964286	3
otel_stack_frame_unwind_scan	kernel	381	381	382	1.000000	1.002625	1.002625	0
otel_stack_frame_unwind_scan	native	117	117	117	1.000000	1.000000	1.000000	0
packed_header_bitfield_decode	kernel	940	936	939	0.995745	1.003205	0.998936	0
packed_header_bitfield_decode	native	501	503	502	1.003992	0.998012	1.001996	0
packet_checksum_fold	kernel	33096	33074	33646	0.999335	1.017295	1.016618	0
packet_checksum_fold	native	26071	26097	26382	1.000997	1.010921	1.011929	0
packet_record_bounds_window	kernel	342	342	342	1.000000	1.000000	1.000000	0
packet_record_bounds_window	native	148	148	148	1.000000	1.000000	1.000000	0
packet_toeplitz_rss_hash	kernel	524	477	528	0.910305	1.106918	1.007634	0
packet_toeplitz_rss_hash	native	374	376	378	1.005348	1.005319	1.010695	0
packet_vlan_tcpopt_parser	kernel	45	45	45	1.000000	1.000000	1.000000	0
packet_vlan_tcpopt_parser	native	18	18	18	1.000000	1.000000	1.000000	0
payload_prefix_memcmp_scan	kernel	293	288	289	0.982935	1.003472	0.986348	1
payload_prefix_memcmp_scan	native	168	169	170	1.005952	1.005917	1.011905	1
simple	kernel	15	15	15	1.000000	1.000000	1.000000	0
simple	native	4	4	4	1.000000	1.000000	1.000000	0
simple_packet	kernel	14	14	14	1.000000	1.000000	1.000000	0
simple_packet	native	4	4	4	1.000000	1.000000	1.000000	0
siphash_rotate64_mixer	kernel	160	160	116	1.000000	0.725000	0.725000	1
siphash_rotate64_mixer	native	44	44	44	1.000000	1.000000	1.000000	1
sorted_rule_binary_search	kernel	1935	1936	1943	1.000517	1.003616	1.004134	0
sorted_rule_binary_search	native	719	718	718	0.998609	1.000000	0.998609	0
tc_packet_checksum_fold	kernel	33040	33035	33588	0.999849	1.016740	1.016586	0
tc_packet_checksum_fold	native	26145	26091	28017	0.997935	1.073819	1.071601	0
tetragon_process_event_arg_filter	kernel	528	524	525	0.992424	1.001908	0.994318	0
tetragon_process_event_arg_filter	native	278	276	275	0.992806	0.996377	0.989209	0
trace_event_type_switch_dispatch	kernel	673	680	680	1.010401	1.000000	1.010401	0
trace_event_type_switch_dispatch	native	634	632	632	0.996845	1.000000	0.996845	0
tracee_http_method_prefix_detect	kernel	62	60	63	0.967742	1.050000	1.016129	0
tracee_http_method_prefix_detect	native	38	40	38	1.052632	0.950000	1.000000	0
tracee_syscall_name_table_lookup	kernel	370	345	330	0.932432	0.956522	0.891892	0
tracee_syscall_name_table_lookup	native	259	264	259	1.019305	0.981061	1.000000	0
