count	symbol
4	bpf_arm64_ccmp_w
2	bpf_arm64_cmp_w
2	bpf_arm64_csel_ne
2	bpf_arm64_cset_x_cond
40	bpf_arm64_extr_w
122	bpf_arm64_extr_x
1	bpf_arm64_ldp_x
1	bpf_arm64_ldr_w
1	bpf_arm64_ldr_x
1	bpf_arm64_ldrb
1	bpf_arm64_ldrh
105	bpf_arm64_prfm_pldl1keep
2	bpf_arm64_rev16_w
2	bpf_arm64_rev_w
1	bpf_arm64_stp_x
1	bpf_arm64_str_w
1	bpf_arm64_str_x
1	bpf_arm64_strb
1	bpf_arm64_strh
2	bpf_arm64_tst
38	bpf_arm64_ubfm_x
