variant	case	kind	sites_matched	sites_applied	sites_skipped	insn_before	insn_after	insn_delta	skip_reasons	path
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample09/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample01/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample00/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample07/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample08/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample03/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample04/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample06/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample05/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	sample	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel__sample02/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	warmup	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel/warmup00/step1-prefetch.report.json
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	warmup	1	1	0	280	282	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025020_311804/details/bpfopt_runs/prefetch_pipeline_horizon2_page_stride__kernel/warmup01/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample09/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample02/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample01/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample03/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample07/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample06/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample04/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample00/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample05/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	sample	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel__sample08/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	warmup	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel/warmup00/step1-prefetch.report.json
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	warmup	1	1	0	269	271	2	{}	experiments/2026-06-02-prefetch-arm64-horizon-l1-pmu-stability/data/aws-results/aws_arm64_micro_20260603_025753_420811/details/bpfopt_runs/prefetch_pipeline_horizon4_page_stride__kernel/warmup01/step1-prefetch.report.json
