variant	case	samples	matched_set	applied_set	skipped_set	insn_delta_set
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	10	1	1	0	2
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	10	1	1	0	2
