group	instance_id	name	instance_type	state	launch_time	terminate_time	wall_seconds	compute_usd	ebs_usd	total_usd
control-disabled	i-0331e6bd077d8dbae	bpf-benchmark-arm64-prfmdisc	t4g.small	terminated	2026-05-28T01:25:57+00:00	2026-05-28T01:34:34+00:00	517	0.002412667	0.000510617	0.002923284
treatment-prfm-disabled	i-0bf00796cb9ce8696	bpf-benchmark-arm64-prfmdist	t4g.small	terminated	2026-05-28T01:36:31+00:00	2026-05-28T01:46:02+00:00	571	0.002664667	0.000563951	0.003228617
