family	unique_kfuncs	symbol_refs	objects	kfuncs
REV	2	2	1	bpf_arm64_rev16_w,bpf_arm64_rev_w
EXTR	2	10	10	bpf_arm64_extr_w,bpf_arm64_extr_x
UBFM	1	12	12	bpf_arm64_ubfm_x
LDR	4	4	1	bpf_arm64_ldr_w,bpf_arm64_ldr_x,bpf_arm64_ldrb,bpf_arm64_ldrh
STR	4	4	1	bpf_arm64_str_w,bpf_arm64_str_x,bpf_arm64_strb,bpf_arm64_strh
LDP/STP	2	2	2	bpf_arm64_ldp_x,bpf_arm64_stp_x
CSEL	1	1	1	bpf_arm64_csel_ne
CCMP/CMP/CSET	4	7	3	bpf_arm64_ccmp_w,bpf_arm64_cmp_w,bpf_arm64_cset_x_cond,bpf_arm64_tst
PRFM	0	0	0	
MOV	0	0	0	
OTHER	0	0	0	
