variant	samples	mean_exec_ns	median_exec_ns	mean_cycles	median_cycles	mean_instructions	median_instructions	mean_cache_references	median_cache_references	mean_cache_misses	median_cache_misses	mean_miss_rate	median_miss_rate	bpf_bytes	native_bytes	perf_collected	all_correct
control	3	16967.000000	16960	207326715.000000	206206528	886240928.333333	886148404	81767806.666667	81799749	3320449.666667	3348873	0.040607450	0.040939893	2912	1744	true	true
treatment	3	17005.000000	17009	208550030.333333	208214034	898944901.333333	896875221	80929909.333333	81350835	2770112.000000	2723798	0.034224896	0.033647146	2944	1752	true	true
