app	setup	status	result_dir	log
cilium/agent	workload_only	0	corpus/results/x86_kvm_corpus_20260523_044714_736491	corpus/results/workload_perf_cilium_endpoint_pktgen_bidir_threads_60s_20260522_214411/cilium__workload_only.log
cilium/agent	ebpf_no_state	0	corpus/results/x86_kvm_corpus_20260523_045322_149815	corpus/results/workload_perf_cilium_endpoint_pktgen_bidir_threads_60s_20260522_214411/cilium__ebpf_no_state.log
