group	compare_to	benchmark	runtime	families	relocations	rep1_ratio	rep2_ratio	rep3_ratio	median_ratio	min_ratio	max_ratio	faster_reps	slower_reps	equal_reps	direction
baseline	control-disabled	arm64_direct_abi_coverage	kernel			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	arm64_direct_abi_coverage	native			1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0	0	3	all_equal
baseline	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel			0.996504370	0.995008735	0.995271279	0.995271279	0.995008735	0.996504370	3	0	0	all_faster
baseline	control-disabled	bcc_runqlat_log2_histogram_bucket	native			1.003160271	1.000450450	1.000000000	1.000450450	1.000000000	1.003160271	0	2	1	mixed
baseline	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel			1.012539185	1.006250000	1.009404389	1.009404389	1.006250000	1.012539185	0	3	0	all_slower
baseline	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native			1.000000000	1.006666667	1.000000000	1.000000000	1.000000000	1.006666667	0	1	2	mixed
baseline	control-disabled	bitmap_popcount_scan	kernel			1.006996065	1.000000000	0.999565784	1.000000000	0.999565784	1.006996065	1	1	1	mixed
baseline	control-disabled	bitmap_popcount_scan	native			0.997523220	1.000620347	1.000000000	1.000000000	0.997523220	1.000620347	1	1	1	mixed
baseline	control-disabled	bpf_local_call_fanout_dispatch	kernel			1.024615385	0.970149254	1.000000000	1.000000000	0.970149254	1.024615385	1	1	1	mixed
baseline	control-disabled	bpf_local_call_fanout_dispatch	native			1.008695652	1.000000000	1.008771930	1.008695652	1.000000000	1.008771930	0	2	1	mixed
baseline	control-disabled	bpftrace_comm_key_fnv_hash	kernel			1.000000000	0.999396500	1.000000000	1.000000000	0.999396500	1.000000000	1	0	2	mixed
baseline	control-disabled	bpftrace_comm_key_fnv_hash	native			1.000000000	0.998448410	1.000777605	1.000000000	0.998448410	1.000777605	1	1	1	mixed
