rep	group	instance_id	instance_type	region	state_after_run	wrapper_start_utc	wrapper_end_utc	wall_hours_upper_bound	compute_usd_upper_bound	ebs_usd_upper_bound	total_usd_upper_bound
1	baseline	i-04e99544d95231c57	t4g.small	us-east-1	shutting-down in run log	2026-05-28T21:38:29.544644+00:00	2026-05-28T21:48:43.712565+00:00	0.170602200	0.002866117	0.000598276	0.003464393
1	control-disabled	i-0e29bc63267293bd8	t4g.small	us-east-1	shutting-down in run log	2026-05-28T21:49:14.824515+00:00	2026-05-28T21:58:25.099934+00:00	0.152854283	0.002567952	0.000536037	0.003103989
1	candidate-conservative	i-08ed99e7dc7240994	t4g.small	us-east-1	shutting-down in run log	2026-05-28T21:58:56.171912+00:00	2026-05-28T22:08:27.835621+00:00	0.158795475	0.002667764	0.000556872	0.003224636
1	candidate-expanded	i-0956a691abf0e7c53	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:08:58.859609+00:00	2026-05-28T22:17:25.047438+00:00	0.140607730	0.002362210	0.000493090	0.002855300
2	baseline	i-0f966bd94f2da1eeb	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:17:56.007429+00:00	2026-05-28T22:28:04.296149+00:00	0.168969089	0.002838681	0.000592549	0.003431230
2	control-disabled	i-01842cccf89ff7fe6	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:28:35.272198+00:00	2026-05-28T22:38:37.136770+00:00	0.167184603	0.002808701	0.000586291	0.003394993
2	candidate-conservative	i-0f4f07e0c1f8f54c5	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:39:08.156786+00:00	2026-05-28T22:48:36.704994+00:00	0.157930058	0.002653225	0.000553837	0.003207062
2	candidate-expanded	i-04e56f1bfee5ee374	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:49:07.673002+00:00	2026-05-28T22:58:33.257009+00:00	0.157106669	0.002639392	0.000550949	0.003190341
3	baseline	i-0ffb21e82eeba7fce	t4g.small	us-east-1	shutting-down in run log	2026-05-28T22:59:04.448992+00:00	2026-05-28T23:08:47.516810+00:00	0.161963283	0.002720983	0.000567981	0.003288964
3	control-disabled	i-018fbbc7db0849da3	t4g.small	us-east-1	shutting-down in run log	2026-05-28T23:09:18.640805+00:00	2026-05-28T23:19:55.604741+00:00	0.176934427	0.002972498	0.000620482	0.003592981
3	candidate-conservative	i-0ef6235b4fe374eb1	t4g.small	us-east-1	shutting-down in run log	2026-05-28T23:20:26.588739+00:00	2026-05-28T23:29:39.792718+00:00	0.153667772	0.002581619	0.000538890	0.003120508
3	candidate-expanded	i-05316c076506e3396	t4g.small	us-east-1	shutting-down in run log	2026-05-28T23:30:10.908717+00:00	2026-05-28T23:39:24.868002+00:00	0.153877579	0.002585143	0.000539625	0.003124769
