group	result_dir	benchmarks	runtimes	samples	failed_samples
baseline	aws_arm64_micro_20260525_215629_685096	29	2	174	0
control-disabled	aws_arm64_micro_20260525_220735_024397	29	2	174	0
treatment-wide-load	aws_arm64_micro_20260525_221709_030786	29	2	174	0
