attempt	benchmarks	runs	failed_samples	status	object_count	kfunc_symbols	arm64_rev_symbols	arm64_extr_symbols	arm64_symbols	x86_symbols
baseline	29	174	0	completed	29	0	0	0	0	0
control-disabled	29	174	0	completed	29	0	0	0	0	0
treatment-rev-only	29	174	0	completed	29	2	2	0	2	0
treatment-extr-only	29	174	0	completed	29	7	0	7	7	0
