attempt	instance_id	launch_time	result_generated_at	wall_seconds	ec2_usd	ebs_usd	total_usd	state
baseline	i-06d826def0fce2e3c	2026-05-23T07:51:13+00:00	2026-05-23T07:56:08.188688+00:00	295	0.001376667	0.000287367	0.001664033	terminated
control-disabled	i-051214484052842f1	2026-05-23T08:01:17+00:00	2026-05-23T08:07:08.446468+00:00	351	0.001638000	0.000341918	0.001979918	terminated
treatment-rev-only	i-0f81d4555d47846b5	2026-05-23T08:11:57+00:00	2026-05-23T08:17:37.177585+00:00	340	0.001586667	0.000331202	0.001917869	terminated
treatment-extr-only	i-0403fcb77552967c9	2026-05-23T08:22:31+00:00	2026-05-23T08:28:07.367473+00:00	336	0.001568000	0.000327306	0.001895306	terminated
