benchmark	sample_index	bpf_bytecode_bytes	native_code_bytes	jited_prog_len	xlated_prog_len
bitmap_popcount_scan	0	920	608	608	920
bcc_runqlat_log2_histogram_bucket	0	1296	768	768	1296
payload_prefix_memcmp_scan	0	1136	712	712	1136
packet_vlan_tcpopt_parser	0	1840	1152	1152	1840
flow_5tuple_rss_hash	0	1496	840	840	1496
katran_lb_consistent_hash_select	0	5792	3224	3224	5792
siphash_rotate64_mixer	0	4248	1768	1768	4248
flow_record_field_scan	0	736	488	488	736
packed_header_bitfield_decode	0	2216	1272	1272	2216
bpftrace_string_search_prefix_scan	0	1328	872	872	1328
cilium_socket_lb_service_select	0	1888	1112	1112	1888
bcc_tcpconnect_ipv4_tuple_filter	0	1656	1000	1000	1656
otel_stack_frame_unwind_scan	0	1848	1088	1088	1848
cilium_ct_nat_tuple_rewrite	0	1680	1008	1008	1680
bpftrace_comm_key_fnv_hash	0	1944	1144	1144	1944
cgroup_skb_hash_chain	0	928	640	640	928
