benchmark	runtime	sample_index	inner_repeat	exec_ns	result	expected_result	passed	retval	bpf_bytecode_bytes	native_code_bytes	jited_prog_len	xlated_prog_len
simple	native	0	10000	5	12345678	12345678	True	2	0	84		
simple	kernel	0	10000	16	12345678	12345678	True	2	192	160	160	192
simple_packet	native	0	10000	4	12345678	12345678	True	2	0	64		
simple_packet	kernel	0	10000	15	12345678	12345678	True	2	168	144	144	168
bitmap_popcount_scan	native	0	10000	1749	12830754992348206170	12830754992348206170	True	2	0	144		
bitmap_popcount_scan	kernel	0	10000	2303	12830754992348206170	12830754992348206170	True	2	920	608	608	920
sorted_rule_binary_search	native	0	10000	722	126	126	True	2	0	296		
sorted_rule_binary_search	kernel	0	10000	1934	126	126	True	2	1400	856	856	1400
bcc_runqlat_log2_histogram_bucket	native	0	10000	2216	17790125373615940312	17790125373615940312	True	2	0	328		
bcc_runqlat_log2_histogram_bucket	kernel	0	10000	3996	17790125373615940312	17790125373615940312	True	2	1296	768	768	1296
trace_event_type_switch_dispatch	native	0	10000	648	16	16	True	2	0	1448		
trace_event_type_switch_dispatch	kernel	0	10000	680	16	16	True	2	2056	1368	1368	2056
packet_checksum_fold	native	0	10000	26255	0	0	True	2	0	180		
packet_checksum_fold	kernel	0	10000	33203	0	0	True	2	704	448	448	704
payload_prefix_memcmp_scan	native	0	10000	169	9377358970524074984	9377358970524074984	True	2	0	428		
payload_prefix_memcmp_scan	kernel	0	10000	286	9377358970524074984	9377358970524074984	True	2	1136	712	712	1136
packet_vlan_tcpopt_parser	native	0	10000	18	7124500222221	7124500222221	True	2	0	704		
packet_vlan_tcpopt_parser	kernel	0	10000	45	7124500222221	7124500222221	True	2	1840	1152	1152	1840
bpf_local_call_fanout_dispatch	native	0	10000	117	1171593469689687806	1171593469689687806	True	2	0	284		
bpf_local_call_fanout_dispatch	kernel	0	10000	323	1171593469689687806	1171593469689687806	True	2	3888	2352	2352	3888
flow_5tuple_rss_hash	native	0	10000	17	11016707074064960918	11016707074064960918	True	2	0	508		
flow_5tuple_rss_hash	kernel	0	10000	38	11016707074064960918	11016707074064960918	True	2	1496	840	840	1496
katran_lb_consistent_hash_select	native	0	10000	27	5895923248507644458	5895923248507644458	True	2	0	1632		
katran_lb_consistent_hash_select	kernel	0	10000	58	5895923248507644458	5895923248507644458	True	2	5792	3224	3224	5792
cilium_policy_guard_tree_filter	native	0	10000	122	5333736376993440184	5333736376993440184	True	2	0	396		
cilium_policy_guard_tree_filter	kernel	0	10000	241	5333736376993440184	5333736376993440184	True	2	1128	688	688	1128
siphash_rotate64_mixer	native	0	10000	44	2666935177028490406	2666935177028490406	True	2	0	1020		
siphash_rotate64_mixer	kernel	0	10000	84	2666935177028490406	2666935177028490406	True	2	4248	1768	1768	4248
packet_record_bounds_window	native	0	10000	147	1610777047308888911	1610777047308888911	True	2	0	292		
packet_record_bounds_window	kernel	0	10000	343	1610777047308888911	1610777047308888911	True	2	1224	752	752	1224
flow_record_field_scan	native	0	10000	106	9354240374969449171	9354240374969449171	True	2	0	312		
flow_record_field_scan	kernel	0	10000	185	9354240374969449171	9354240374969449171	True	2	736	488	488	736
packed_header_bitfield_decode	native	0	10000	504	12211926182125163441	12211926182125163441	True	2	0	680		
packed_header_bitfield_decode	kernel	0	10000	904	12211926182125163441	12211926182125163441	True	2	2216	1272	1272	2216
bpftrace_string_search_prefix_scan	native	0	10000	353	15111065535037762995	15111065535037762995	True	2	0	520		
bpftrace_string_search_prefix_scan	kernel	0	10000	523	15111065535037762995	15111065535037762995	True	2	1328	872	872	1328
tracee_syscall_name_table_lookup	native	0	10000	259	4063733557757466536	4063733557757466536	True	2	0	920		
tracee_syscall_name_table_lookup	kernel	0	10000	344	4063733557757466536	4063733557757466536	True	2	1480	1096	1096	1480
