attempt	objects	kfunc_extern_objects	kfunc_symbols	arm64_symbols	x86_symbols	arm64_rev_symbols	arm64_extr_symbols	arm64_ubfm_symbols	arm64_ldr_x_symbols	status
arm64-all-disable	29	0	0	0	0	0	0	0	0	completed
arm64-rev-extr-ubfm-ldr	29	16	22	22	0	2	7	12	1	completed
x86-scoped	29	24	37	0	37	0	0	0	0	completed
