kfunc	relocations	objects	source
bpf_x86_movzwl	11	4	/home/ruoji/github/bpf-opt/experiments/2026-05-25-arm64-rev-extr-ubfm-ldr-combined-regression/analysis/object-relocations.tsv
bpf_x86_movl	43	21	/home/ruoji/github/bpf-opt/experiments/2026-05-25-arm64-rev-extr-ubfm-ldr-combined-regression/analysis/object-relocations.tsv
bpf_x86_movq	8	1	/home/ruoji/github/bpf-opt/experiments/2026-05-25-arm64-rev-extr-ubfm-ldr-combined-regression/analysis/object-relocations.tsv
