runtime	scope	benchmarks	geomean_treatment_control_ratio	delta_percent
kernel	all	34	0.9622314217066046	-3.7768578293395416
kernel	affected	33	0.9621843369306745	-3.781566306932549
kernel	unaffected	1	0.963786512591555	-3.621348740844499
native	all	34	0.9831061408607565	-1.6893859139243461
native	affected	33	0.9834447278886581	-1.655527211134189
native	unaffected	1	0.9719979257722794	-2.800207422772061
