item	unit	usd	description
ec2_t4g_small	Hrs	0.0168	$0.0168 per On Demand Linux t4g.small Instance Hour
ebs_gp3	GB-Mo	0.08	$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia)
