object	pass	exit	prep_retry	unknown_arg	transformed_reject
bcc_biosnoop	noop	0	0	0	0
bcc_biosnoop	map_inline	0	0	0	0
bcc_capable	noop	0	0	0	0
bcc_capable	map_inline	0	0	0	0
bcc_opensnoop	noop	0	0	0	0
bcc_opensnoop	map_inline	0	0	0	0
bcc_runqlat	noop	0	0	0	0
bcc_runqlat	map_inline	0	0	0	0
bcc_syscount	noop	0	0	0	0
bcc_syscount	map_inline	0	0	0	0
bcc_tcpconnect	noop	0	0	0	0
bcc_tcpconnect	map_inline	0	0	0	0
bcc_tcplife	noop	0	0	0	0
bcc_tcplife	map_inline	0	0	0	0
bcc_vfsstat	noop	0	0	0	0
bcc_vfsstat	map_inline	0	0	0	0
bpftrace_base	noop	0	0	0	0
bpftrace_base	map_inline	0	0	0	0
bpftrace_map_map	noop	0	0	0	0
bpftrace_map_map	map_inline	0	0	0	0
bpftrace_process_process	noop	0	0	0	0
bpftrace_process_process	map_inline	0	0	0	0
bpftrace_strings_strings	noop	0	0	0	0
bpftrace_strings_strings	map_inline	0	0	0	0
bpftrace_system_system	noop	0	0	0	0
bpftrace_system_system	map_inline	0	0	0	0
bpftrace_task_task	noop	0	0	0	0
bpftrace_task_task	map_inline	0	0	0	0
bpftrace_task_vma	noop	0	0	0	0
bpftrace_task_vma	map_inline	0	0	0	0
bpftrace_test_test	noop	0	0	0	0
bpftrace_test_test	map_inline	0	0	0	0
bpftrace_usdt_usdt	noop	0	0	0	0
bpftrace_usdt_usdt	map_inline	0	0	0	0
cilium_bpf_alignchecker	noop	0	0	0	0
cilium_bpf_alignchecker	map_inline	0	0	0	0
cilium_bpf_host	noop	0	0	0	0
cilium_bpf_host	map_inline	0	0	0	0
cilium_bpf_lxc	noop	0	0	0	0
cilium_bpf_lxc	map_inline	0	1	0	0
cilium_bpf_overlay	noop	0	0	0	0
cilium_bpf_overlay	map_inline	0	0	0	0
cilium_bpf_sock	noop	0	0	0	0
cilium_bpf_sock	map_inline	0	0	0	0
cilium_bpf_wireguard	noop	0	0	0	0
cilium_bpf_wireguard	map_inline	0	0	0	0
cilium_bpf_xdp	noop	0	0	0	0
cilium_bpf_xdp	map_inline	0	1	0	0
katran_balancer	noop	0	0	0	0
katran_balancer	map_inline	0	0	0	0
katran_healthchecking	noop	0	0	0	0
katran_healthchecking	map_inline	0	0	0	0
katran_healthchecking_ipip	noop	0	0	0	0
katran_healthchecking_ipip	map_inline	0	0	0	0
katran_xdp_pktcntr	noop	0	0	0	0
katran_xdp_pktcntr	map_inline	0	0	0	0
katran_xdp_root	noop	0	0	0	0
katran_xdp_root	map_inline	0	0	0	0
otel_generic_probe	noop	1	0	0	0
otel_generic_probe	map_inline	1	0	0	0
otel_native_stack_trace	noop	1	0	0	0
otel_native_stack_trace	map_inline	1	0	0	0
otel_sched_monitor	noop	1	0	0	0
otel_sched_monitor	map_inline	1	0	0	0
tracee_lsm_support_kprobe_check	noop	0	0	0	0
tracee_lsm_support_kprobe_check	map_inline	0	0	0	0
tracee_lsm_support_lsm_check	noop	0	0	0	0
tracee_lsm_support_lsm_check	map_inline	0	0	0	0
tracee_tracee	noop	0	0	0	0
tracee_tracee	map_inline	1	1	0	0
