name	instance_id	state	launch_time	terminate_time	wall_seconds
bpf-benchmark-arm64-prefetch-map-control-r1	i-0a530047758868a72	terminated	2026-06-01T06:00:44+00:00	terminate_time_not_in_describe	
bpf-benchmark-arm64-prefetch-map-control-smoke	i-046fb837f84419ebb	terminated	2026-06-01T05:54:28+00:00	terminate_time_not_in_describe	
bpf-benchmark-arm64-prefetch-map-treatment-r1	i-0da79534a1820cb9c	terminated	2026-06-01T06:09:36+00:00	terminate_time_not_in_describe	
