run	benchmark	status	samples	median_exec_ns	median_cycles	error
control_smoke	prefetch_map_page_stride	completed	1	14613	35123356	
control_smoke	prefetch_map_indirect_page	completed	1	14688	36732985	
control_smoke	prefetch_map_line_dedup	completed	1	14555	36346369	
control_r1	prefetch_map_page_stride	completed	3	13985	3493117995	
control_r1	prefetch_map_indirect_page	completed	3	15096	3662206592	
control_r1	prefetch_map_line_dedup	completed	3	14496	3619768877	
treatment_r1_failed	prefetch_map_page_stride	error	0			command failed (1): /home/ruoji/github/bpf-opt/code/runner/build-arm64-llvmbpf/micro_exec test-run --program /artifacts/user/micro-programs/arm64/prefetch_map_research.bpf.o --program-name prefetch_map_page_stride_xdp --memory /home/ruoji/github/bpf-opt/code/micro/generated-inputs/prefetch_map_research.mem --io-mode map --input-size 262144 --inner-repeat 100000 --perf-counters --perf-scope full_repeat_raw --dump-jit-path /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin --dump-xlated /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.xlated.bin
treatment_r1_failed	prefetch_map_indirect_page	error	0			command failed (1): /home/ruoji/github/bpf-opt/code/runner/build-arm64-llvmbpf/micro_exec test-run --program /artifacts/user/micro-programs/arm64/prefetch_map_research.bpf.o --program-name prefetch_map_indirect_page_xdp --memory /home/ruoji/github/bpf-opt/code/micro/generated-inputs/prefetch_map_research.mem --io-mode map --input-size 262144 --inner-repeat 100000 --perf-counters --perf-scope full_repeat_raw --dump-jit-path /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_indirect_page__kernel__sample00.jited.bin --dump-xlated /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_indirect_page__kernel__sample00.xlated.bin
treatment_r1_failed	prefetch_map_line_dedup	error	0			command failed (1): /home/ruoji/github/bpf-opt/code/runner/build-arm64-llvmbpf/micro_exec test-run --program /artifacts/user/micro-programs/arm64/prefetch_map_research.bpf.o --program-name prefetch_map_line_dedup_xdp --memory /home/ruoji/github/bpf-opt/code/micro/generated-inputs/prefetch_map_research.mem --io-mode map --input-size 262144 --inner-repeat 100000 --perf-counters --perf-scope full_repeat_raw --dump-jit-path /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_line_dedup__kernel__sample00.jited.bin --dump-xlated /home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260601_061450_178556/details/jit_dumps/prefetch_map_line_dedup__kernel__sample00.xlated.bin
