benchmark	control_xlated	control_jited	treatment_xlated	treatment_jited
prefetch_distance_0	760	451	760	451
prefetch_distance_2	1016	569	1016	569
prefetch_distance_4	1016	571	1016	571
prefetch_distance_8	1016	571	1016	571
prefetch_distance_16	1016	571	1016	571
prefetch_distance_32	1008	568	1008	568
prefetch_indirect_lookup	1048	575	1048	575
prefetch_indirect_two_stage	1192	644	1192	644
prefetch_cacheline_dedup_scan	1736	993	1736	993
prefetch_packet_offset_guarded	1104	600	1104	600
prefetch_full_packet_ring_scan	1056	588	1056	588
prefetch_map_page_stride	920	494	920	494
prefetch_map_indirect_page	1064	564	1064	564
prefetch_map_line_dedup	1584	805	1584	805
prefetch_hot_l1_load	728	432	728	432
prefetch_sequential_scan	744	418	744	418
prefetch_large_stride_scan	1008	564	1008	564
prefetch_permuted_index_scan	952	526	952	526
prefetch_packet_first_deref	1080	592	1080	592
