app	setup	status	result_dir	log
bcc/set	workload_only	0	corpus/results/x86_kvm_corpus_20260522_231402_001368	corpus/results/workload_perf_bcc_hot4_60s_20260522_161113/bcc_set__workload_only.log
bcc/set	ebpf_no_state	0	corpus/results/x86_kvm_corpus_20260522_231959_336238	corpus/results/workload_perf_bcc_hot4_60s_20260522_161113/bcc_set__ebpf_no_state.log
