case	kfunc	object_count	relocations	hit_benchmarks
arm64-combined	bpf_arm64_ccmp_w	2	4	ccmp_all_nonzero,cilium_socket_lb_service_select
arm64-combined	bpf_arm64_cmp_w	2	2	ccmp_all_nonzero,cilium_socket_lb_service_select
arm64-combined	bpf_arm64_csel_ne	1	2	csel_select64
arm64-combined	bpf_arm64_cset_x_cond	2	2	ccmp_all_nonzero,cilium_socket_lb_service_select
arm64-combined	bpf_arm64_extr_w	4	40	bcc_tcpconnect_ipv4_tuple_filter,cilium_ct_nat_tuple_rewrite,flow_5tuple_rss_hash,katran_lb_consistent_hash_select
arm64-combined	bpf_arm64_extr_x	4	120	bpftrace_string_search_prefix_scan,csel_select64,payload_prefix_memcmp_scan,siphash_rotate64_mixer
arm64-combined	bpf_arm64_ldr_w	21	43	bcc_runqlat_log2_histogram_bucket,bcc_tcpconnect_ipv4_tuple_filter,bitmap_popcount_scan,bpf_local_call_fanout_dispatch,bpftrace_comm_key_fnv_hash,bpftrace_string_search_prefix_scan,cgroup_skb_hash_chain,cilium_ct_nat_tuple_rewrite,cilium_policy_guard_tree_filter,cilium_socket_lb_service_select,otel_stack_frame_unwind_scan,packed_header_bitfield_decode,packet_checksum_fold,packet_record_bounds_window,payload_prefix_memcmp_scan,sorted_rule_binary_search,tc_packet_checksum_fold,tetragon_process_event_arg_filter,trace_event_type_switch_dispatch,tracee_http_method_prefix_detect,tracee_syscall_name_table_lookup
arm64-combined	bpf_arm64_ldr_x	2	12	csel_select64,siphash_rotate64_mixer
arm64-combined	bpf_arm64_ldrh	4	11	katran_lb_consistent_hash_select,packet_checksum_fold,packet_record_bounds_window,tc_packet_checksum_fold
arm64-combined	bpf_arm64_rev16_w	1	2	katran_lb_consistent_hash_select
arm64-combined	bpf_arm64_rev_w	1	2	katran_lb_consistent_hash_select
arm64-combined	bpf_arm64_tst	1	2	csel_select64
arm64-combined	bpf_arm64_ubfm_x	12	38	bcc_runqlat_log2_histogram_bucket,bcc_tcpconnect_ipv4_tuple_filter,bitmap_popcount_scan,bpftrace_comm_key_fnv_hash,cgroup_skb_hash_chain,cilium_socket_lb_service_select,flow_5tuple_rss_hash,flow_record_field_scan,katran_lb_consistent_hash_select,otel_stack_frame_unwind_scan,packed_header_bitfield_decode,packet_vlan_tcpopt_parser
x86-scoped	bpf_x86_bextrq	2	10	bcc_runqlat_log2_histogram_bucket,packed_header_bitfield_decode
x86-scoped	bpf_x86_bswapl	1	2	katran_lb_consistent_hash_select
x86-scoped	bpf_x86_movl	21	43	bcc_runqlat_log2_histogram_bucket,bcc_tcpconnect_ipv4_tuple_filter,bitmap_popcount_scan,bpf_local_call_fanout_dispatch,bpftrace_comm_key_fnv_hash,bpftrace_string_search_prefix_scan,cgroup_skb_hash_chain,cilium_ct_nat_tuple_rewrite,cilium_policy_guard_tree_filter,cilium_socket_lb_service_select,otel_stack_frame_unwind_scan,packed_header_bitfield_decode,packet_checksum_fold,packet_record_bounds_window,payload_prefix_memcmp_scan,sorted_rule_binary_search,tc_packet_checksum_fold,tetragon_process_event_arg_filter,trace_event_type_switch_dispatch,tracee_http_method_prefix_detect,tracee_syscall_name_table_lookup
x86-scoped	bpf_x86_movq	2	12	csel_select64,siphash_rotate64_mixer
x86-scoped	bpf_x86_movzwl	4	11	katran_lb_consistent_hash_select,packet_checksum_fold,packet_record_bounds_window,tc_packet_checksum_fold
x86-scoped	bpf_x86_rolq	4	120	bpftrace_string_search_prefix_scan,csel_select64,payload_prefix_memcmp_scan,siphash_rotate64_mixer
x86-scoped	bpf_x86_rolw	1	2	katran_lb_consistent_hash_select
x86-scoped	bpf_x86_rorxl	4	40	bcc_tcpconnect_ipv4_tuple_filter,cilium_ct_nat_tuple_rewrite,flow_5tuple_rss_hash,katran_lb_consistent_hash_select
