case	benchmark	arm64_symbols	x86_symbols	arm64_relocations	x86_relocations
arm64-combined	bcc_runqlat_log2_histogram_bucket	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		3	0
arm64-combined	bcc_tcpconnect_ipv4_tuple_filter	bpf_arm64_extr_w,bpf_arm64_ldr_w,bpf_arm64_ubfm_x		5	0
arm64-combined	bitmap_popcount_scan	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		3	0
arm64-combined	bpf_local_call_fanout_dispatch	bpf_arm64_ldr_w		3	0
arm64-combined	bpftrace_comm_key_fnv_hash	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		3	0
arm64-combined	bpftrace_string_search_prefix_scan	bpf_arm64_extr_x,bpf_arm64_ldr_w		2	0
arm64-combined	ccmp_all_nonzero	bpf_arm64_ccmp_w,bpf_arm64_cmp_w,bpf_arm64_cset_x_cond		5	0
arm64-combined	cgroup_skb_hash_chain	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		4	0
arm64-combined	cilium_ct_nat_tuple_rewrite	bpf_arm64_extr_w,bpf_arm64_ldr_w		3	0
arm64-combined	cilium_policy_guard_tree_filter	bpf_arm64_ldr_w		1	0
arm64-combined	cilium_socket_lb_service_select	bpf_arm64_ccmp_w,bpf_arm64_cmp_w,bpf_arm64_cset_x_cond,bpf_arm64_ldr_w,bpf_arm64_ubfm_x		7	0
arm64-combined	csel_select64	bpf_arm64_csel_ne,bpf_arm64_extr_x,bpf_arm64_ldr_x,bpf_arm64_tst		9	0
arm64-combined	flow_5tuple_rss_hash	bpf_arm64_extr_w,bpf_arm64_ubfm_x		16	0
arm64-combined	flow_record_field_scan	bpf_arm64_ubfm_x		1	0
arm64-combined	katran_lb_consistent_hash_select	bpf_arm64_extr_w,bpf_arm64_ldrh,bpf_arm64_rev16_w,bpf_arm64_rev_w,bpf_arm64_ubfm_x		46	0
arm64-combined	otel_stack_frame_unwind_scan	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		3	0
arm64-combined	packed_header_bitfield_decode	bpf_arm64_ldr_w,bpf_arm64_ubfm_x		15	0
arm64-combined	packet_checksum_fold	bpf_arm64_ldr_w,bpf_arm64_ldrh		3	0
arm64-combined	packet_record_bounds_window	bpf_arm64_ldr_w,bpf_arm64_ldrh		8	0
arm64-combined	packet_vlan_tcpopt_parser	bpf_arm64_ubfm_x		1	0
arm64-combined	payload_prefix_memcmp_scan	bpf_arm64_extr_x,bpf_arm64_ldr_w		3	0
arm64-combined	siphash_rotate64_mixer	bpf_arm64_extr_x,bpf_arm64_ldr_x		124	0
arm64-combined	sorted_rule_binary_search	bpf_arm64_ldr_w		2	0
arm64-combined	tc_packet_checksum_fold	bpf_arm64_ldr_w,bpf_arm64_ldrh		3	0
arm64-combined	tetragon_process_event_arg_filter	bpf_arm64_ldr_w		2	0
arm64-combined	trace_event_type_switch_dispatch	bpf_arm64_ldr_w		2	0
arm64-combined	tracee_http_method_prefix_detect	bpf_arm64_ldr_w		2	0
arm64-combined	tracee_syscall_name_table_lookup	bpf_arm64_ldr_w		1	0
x86-scoped	bcc_runqlat_log2_histogram_bucket		bpf_x86_bextrq,bpf_x86_movl	0	3
x86-scoped	bcc_tcpconnect_ipv4_tuple_filter		bpf_x86_movl,bpf_x86_rorxl	0	3
x86-scoped	bitmap_popcount_scan		bpf_x86_movl	0	2
x86-scoped	bpf_local_call_fanout_dispatch		bpf_x86_movl	0	3
x86-scoped	bpftrace_comm_key_fnv_hash		bpf_x86_movl	0	2
x86-scoped	bpftrace_string_search_prefix_scan		bpf_x86_movl,bpf_x86_rolq	0	2
x86-scoped	cgroup_skb_hash_chain		bpf_x86_movl	0	2
x86-scoped	cilium_ct_nat_tuple_rewrite		bpf_x86_movl,bpf_x86_rorxl	0	3
x86-scoped	cilium_policy_guard_tree_filter		bpf_x86_movl	0	1
x86-scoped	cilium_socket_lb_service_select		bpf_x86_movl	0	2
x86-scoped	csel_select64		bpf_x86_movq,bpf_x86_rolq	0	5
x86-scoped	flow_5tuple_rss_hash		bpf_x86_rorxl	0	14
x86-scoped	katran_lb_consistent_hash_select		bpf_x86_bswapl,bpf_x86_movzwl,bpf_x86_rolw,bpf_x86_rorxl	0	35
x86-scoped	otel_stack_frame_unwind_scan		bpf_x86_movl	0	2
x86-scoped	packed_header_bitfield_decode		bpf_x86_bextrq,bpf_x86_movl	0	11
x86-scoped	packet_checksum_fold		bpf_x86_movl,bpf_x86_movzwl	0	3
x86-scoped	packet_record_bounds_window		bpf_x86_movl,bpf_x86_movzwl	0	8
x86-scoped	payload_prefix_memcmp_scan		bpf_x86_movl,bpf_x86_rolq	0	3
x86-scoped	siphash_rotate64_mixer		bpf_x86_movq,bpf_x86_rolq	0	124
x86-scoped	sorted_rule_binary_search		bpf_x86_movl	0	2
x86-scoped	tc_packet_checksum_fold		bpf_x86_movl,bpf_x86_movzwl	0	3
x86-scoped	tetragon_process_event_arg_filter		bpf_x86_movl	0	2
x86-scoped	trace_event_type_switch_dispatch		bpf_x86_movl	0	2
x86-scoped	tracee_http_method_prefix_detect		bpf_x86_movl	0	2
x86-scoped	tracee_syscall_name_table_lookup		bpf_x86_movl	0	1
