group	benchmark	families	relocations
treatment-true-all-on	arm64_direct_abi_coverage	EXTR,LDR,PRFM,STR	EXTR:1,LDR:4,PRFM:2,STR:4
treatment-true-all-on	bcc_runqlat_log2_histogram_bucket	LDR,PRFM,UBFM	LDR:2,PRFM:10,UBFM:1
treatment-true-all-on	bcc_tcpconnect_ipv4_tuple_filter	EXTR,LDR,PRFM,UBFM	EXTR:1,LDR:2,PRFM:3,UBFM:2
treatment-true-all-on	bitmap_popcount_scan	LDR,PRFM,UBFM	LDR:2,PRFM:3,UBFM:1
treatment-true-all-on	bpf_local_call_fanout_dispatch	LDR,PRFM	LDR:3,PRFM:2
treatment-true-all-on	bpftrace_comm_key_fnv_hash	LDR,PRFM,UBFM	LDR:2,PRFM:3,UBFM:1
treatment-true-all-on	bpftrace_string_search_prefix_scan	EXTR,LDR,PRFM	EXTR:1,LDR:1,PRFM:2
treatment-true-all-on	ccmp_all_nonzero	CCMP/CMP/CSET,PRFM	CCMP/CMP/CSET:5,PRFM:2
treatment-true-all-on	cgroup_skb_hash_chain	LDR,PRFM,UBFM	LDR:2,PRFM:1,UBFM:2
treatment-true-all-on	cilium_ct_nat_tuple_rewrite	EXTR,LDR,PRFM	EXTR:1,LDR:2,PRFM:3
treatment-true-all-on	cilium_policy_guard_tree_filter	LDR,PRFM	LDR:1,PRFM:3
treatment-true-all-on	cilium_socket_lb_service_select	CCMP/CMP/CSET,LDR,PRFM,UBFM	CCMP/CMP/CSET:3,LDR:2,PRFM:3,UBFM:2
treatment-true-all-on	csel_select64	CSEL,EXTR,LDR,PRFM	CSEL:4,EXTR:1,LDR:4,PRFM:2
treatment-true-all-on	flow_5tuple_rss_hash	EXTR,PRFM,UBFM	EXTR:14,PRFM:4,UBFM:2
treatment-true-all-on	flow_record_field_scan	PRFM,UBFM	PRFM:3,UBFM:1
treatment-true-all-on	katran_lb_consistent_hash_select	EXTR,LDR,PRFM,REV,UBFM	EXTR:24,LDR:7,PRFM:3,REV:4,UBFM:11
treatment-true-all-on	ldp_stack_pair	EXTR,LDP/STP,PRFM	EXTR:1,LDP/STP:1,PRFM:2
treatment-true-all-on	otel_stack_frame_unwind_scan	LDR,PRFM,UBFM	LDR:2,PRFM:3,UBFM:1
treatment-true-all-on	packed_header_bitfield_decode	LDR,PRFM,UBFM	LDR:2,PRFM:3,UBFM:13
treatment-true-all-on	packet_checksum_fold	LDR,PRFM	LDR:3,PRFM:2
treatment-true-all-on	packet_record_bounds_window	LDR,PRFM	LDR:8,PRFM:2
treatment-true-all-on	packet_toeplitz_rss_hash	PRFM	PRFM:3
treatment-true-all-on	packet_vlan_tcpopt_parser	PRFM,UBFM	PRFM:5,UBFM:1
treatment-true-all-on	payload_prefix_memcmp_scan	EXTR,LDR,PRFM	EXTR:2,LDR:1,PRFM:5
treatment-true-all-on	simple	PRFM	PRFM:2
treatment-true-all-on	simple_packet	PRFM	PRFM:2
treatment-true-all-on	siphash_rotate64_mixer	EXTR,LDR,PRFM	EXTR:116,LDR:8,PRFM:2
treatment-true-all-on	sorted_rule_binary_search	LDR,PRFM	LDR:2,PRFM:11
treatment-true-all-on	stp_stack_pair	LDP/STP,PRFM	LDP/STP:1,PRFM:2
treatment-true-all-on	tc_packet_checksum_fold	LDR	LDR:3
treatment-true-all-on	tetragon_process_event_arg_filter	LDR,PRFM	LDR:2,PRFM:3
treatment-true-all-on	trace_event_type_switch_dispatch	LDR,PRFM	LDR:2,PRFM:2
treatment-true-all-on	tracee_http_method_prefix_detect	LDR,PRFM	LDR:2,PRFM:3
treatment-true-all-on	tracee_syscall_name_table_lookup	LDR,PRFM	LDR:1,PRFM:3
