rep	group	instance_id	name	instance_type	state	launch_time	terminate_time	wall_seconds	time_source	compute_usd	ebs_usd	total_usd
1	baseline	i-06dd42a64a8124cfd	bpf-benchmark-arm64-ta1base	t4g.small	terminated-observed-by-run-log	2026-05-28T08:44:37+00:00	2026-05-28T08:54:26+00:00	589	local aws-run.log birth-to-mtime upper bound; aws describe missing terminated instance	0.002748667	0.000581728	0.003330395
1	control-disabled	i-076495e2371d9b1a9	bpf-benchmark-arm64-ta1ctrl	t4g.small	terminated-observed-by-run-log	2026-05-28T08:54:57+00:00	2026-05-28T09:04:32+00:00	575	local aws-run.log birth-to-mtime upper bound; aws describe missing terminated instance	0.002683333	0.000567901	0.003251235
1	treatment-true-all-on	i-00b2c113badcd8317	bpf-benchmark-arm64-ta1true	t4g.small	terminated-observed-by-run-log	2026-05-28T09:05:03+00:00	2026-05-28T09:14:29+00:00	566	local aws-run.log birth-to-mtime upper bound; aws describe missing terminated instance	0.002641333	0.000559012	0.003200346
2	baseline	i-080b9087f8f2ed0d9	bpf-benchmark-arm64-ta2base	t4g.small	terminated	2026-05-28T09:15:38+00:00	2026-05-28T09:24:32+00:00	534	aws-describe-instances StateTransitionReason	0.002492000	0.000527407	0.003019407
2	control-disabled	i-0da199d2dec2a7b0e	bpf-benchmark-arm64-ta2ctrl	t4g.small	terminated	2026-05-28T09:25:42+00:00	2026-05-28T09:34:26+00:00	524	aws-describe-instances StateTransitionReason	0.002445333	0.000517531	0.002962864
2	treatment-true-all-on	i-02adfa668e7ee0cdd	bpf-benchmark-arm64-ta2true	t4g.small	terminated	2026-05-28T09:35:40+00:00	2026-05-28T09:44:42+00:00	542	aws-describe-instances StateTransitionReason	0.002529333	0.000535309	0.003064642
3	baseline	i-095d86acec670078d	bpf-benchmark-arm64-ta3base	t4g.small	terminated	2026-05-28T09:45:52+00:00	2026-05-28T09:54:34+00:00	522	aws-describe-instances StateTransitionReason	0.002436000	0.000515556	0.002951556
3	control-disabled	i-0422c307ae9df7134	bpf-benchmark-arm64-ta3ctrl	t4g.small	terminated	2026-05-28T09:55:44+00:00	2026-05-28T10:04:24+00:00	520	aws-describe-instances StateTransitionReason	0.002426667	0.000513580	0.002940247
3	treatment-true-all-on	i-086bf0fef3453fce6	bpf-benchmark-arm64-ta3true	t4g.small	terminated	2026-05-28T10:05:34+00:00	2026-05-28T10:14:30+00:00	536	aws-describe-instances StateTransitionReason	0.002501333	0.000529383	0.003030716
