group	runtime	scope	benchmarks	rep1_geomean	rep2_geomean	rep3_geomean	median_geomean	min_geomean	max_geomean	median_faster_pct	direction
treatment-true-all-on	kernel	STR	1	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	0.950000000	5.000000000	all_faster
treatment-true-all-on	kernel	LDP/STP	2	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0.000000000	all_equal
treatment-true-all-on	kernel	CSEL	1	0.607142857	0.607142857	0.607142857	0.607142857	0.607142857	0.607142857	39.285714300	all_faster
treatment-true-all-on	kernel	CCMP/CMP/CSET	2	1.008666508	1.003362969	1.016292400	1.008666508	1.003362969	1.016292400	-0.866650800	all_slower
treatment-true-all-on	kernel	PRFM	33	0.937215069	0.934116517	0.944178250	0.937215069	0.934116517	0.944178250	6.278493100	all_faster
treatment-true-all-on	kernel	MOV	0								mixed
treatment-true-all-on	kernel	NON_PRFM	31	0.931585359	0.931844046	0.935595451	0.931844046	0.931585359	0.935595451	6.815595400	all_faster
treatment-true-all-on	native	ALL	34	1.003011563	0.994198732	1.007388709	1.003011563	0.994198732	1.007388709	-0.301156300	mixed
treatment-true-all-on	native	REV	1	0.964285714	0.964285714	0.964285714	0.964285714	0.964285714	0.964285714	3.571428600	all_faster
treatment-true-all-on	native	EXTR	10	1.006797560	0.998036514	1.014475892	1.006797560	0.998036514	1.014475892	-0.679756000	mixed
treatment-true-all-on	native	UBFM	12	0.985353814	0.998268838	0.989896718	0.989896718	0.985353814	0.998268838	1.010328200	all_faster
treatment-true-all-on	native	LDR	25	1.010308366	0.992748655	0.993494774	0.993494774	0.992748655	1.010308366	0.650522600	mixed
treatment-true-all-on	native	STR	1	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0.000000000	all_equal
treatment-true-all-on	native	LDP/STP	2	1.000000000	1.000000000	1.095445115	1.000000000	1.000000000	1.095445115	0.000000000	mixed
treatment-true-all-on	native	CSEL	1	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	0.000000000	all_equal
treatment-true-all-on	native	CCMP/CMP/CSET	2	1.000000000	1.000000000	1.007570131	1.000000000	1.000000000	1.007570131	0.000000000	mixed
treatment-true-all-on	native	PRFM	33	1.002342782	0.994029236	1.007518822	1.002342782	0.994029236	1.007518822	-0.234278200	mixed
treatment-true-all-on	native	MOV	0								mixed
treatment-true-all-on	native	NON_PRFM	31	1.003303485	0.994148025	1.000618244	1.000618244	0.994148025	1.003303485	-0.061824400	mixed
