rep	group	token	aws_exit_code	result_dir	source_result_dir	metadata_status	benchmarks	started_at	completed_at	kernel_version	container_image	instance_id	instance_type	region	remote_user	root_volume_gb
1	baseline	ta1base	0	attempts/rep1-baseline/data/aws_arm64_micro_20260528_085110_227100	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_085110_227100	completed	34	2026-05-28T08:51:10.227100+00:00	2026-05-28T08:54:23.419927+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-06dd42a64a8124cfd	t4g.small	us-east-1	ec2-user	32
1	control-disabled	ta1ctrl	0	attempts/rep1-control-disabled/data/aws_arm64_micro_20260528_090118_607560	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_090118_607560	completed	34	2026-05-28T09:01:18.607560+00:00	2026-05-28T09:04:28.931194+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-076495e2371d9b1a9	t4g.small	us-east-1	ec2-user	32
1	treatment-true-all-on	ta1true	0	attempts/rep1-treatment-true-all-on/data/aws_arm64_micro_20260528_091113_548309	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_091113_548309	completed	34	2026-05-28T09:11:13.548309+00:00	2026-05-28T09:14:25.977476+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-00b2c113badcd8317	t4g.small	us-east-1	ec2-user	32
2	baseline	ta2base	0	attempts/rep2-baseline/data/aws_arm64_micro_20260528_092117_225125	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_092117_225125	completed	34	2026-05-28T09:21:17.225125+00:00	2026-05-28T09:24:29.154883+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-080b9087f8f2ed0d9	t4g.small	us-east-1	ec2-user	32
2	control-disabled	ta2ctrl	0	attempts/rep2-control-disabled/data/aws_arm64_micro_20260528_093112_178456	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_093112_178456	completed	34	2026-05-28T09:31:12.178456+00:00	2026-05-28T09:34:22.956883+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-0da199d2dec2a7b0e	t4g.small	us-east-1	ec2-user	32
2	treatment-true-all-on	ta2true	0	attempts/rep2-treatment-true-all-on/data/aws_arm64_micro_20260528_094127_545568	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_094127_545568	completed	34	2026-05-28T09:41:27.545568+00:00	2026-05-28T09:44:39.830073+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-02adfa668e7ee0cdd	t4g.small	us-east-1	ec2-user	32
3	baseline	ta3base	0	attempts/rep3-baseline/data/aws_arm64_micro_20260528_095118_156459	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_095118_156459	completed	34	2026-05-28T09:51:18.156459+00:00	2026-05-28T09:54:31.059961+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-095d86acec670078d	t4g.small	us-east-1	ec2-user	32
3	control-disabled	ta3ctrl	0	attempts/rep3-control-disabled/data/aws_arm64_micro_20260528_100110_890353	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_100110_890353	completed	34	2026-05-28T10:01:10.890353+00:00	2026-05-28T10:04:21.557834+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-0422c307ae9df7134	t4g.small	us-east-1	ec2-user	32
3	treatment-true-all-on	ta3true	0	attempts/rep3-treatment-true-all-on/data/aws_arm64_micro_20260528_101114_947211	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260528_101114_947211	completed	34	2026-05-28T10:11:14.947211+00:00	2026-05-28T10:14:27.155923+00:00	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	i-086bf0fef3453fce6	t4g.small	us-east-1	ec2-user	32
