instance_id	arch	instance_type	state	launch_time_utc	terminate_time_utc	wall_seconds	compute_usd	ebs_root_gib	ebs_usd	total_usd
i-08fc9cd0578267046	arm64	t4g.small	terminated	2026-06-02T19:13:58+00:00	2026-06-02T19:20:08Z	370	0.001727	32	0.000365	0.002092
i-0b59fb48b6e65a99a	x86	t3.small	terminated	2026-06-02T18:16:41+00:00	2026-06-02T18:22:39Z	358	0.002068	32	0.000354	0.002422
i-0a2436041dd1c24fc	x86	t3.small	terminated	2026-06-02T18:24:23+00:00	2026-06-02T18:30:31Z	368	0.002126	32	0.000363	0.002489
i-0c9ccafcc7759601d	x86	t3.small	terminated	2026-06-02T18:58:22+00:00	2026-06-02T19:04:48Z	386	0.002230	32	0.000381	0.002611
i-0ec49b38f74ef5b68	arm64	t4g.small	terminated	2026-06-02T19:07:00+00:00	2026-06-02T19:12:19Z	319	0.001489	32	0.000315	0.001804
i-0be9e1c4e9e5a9c13	arm64	t4g.small	terminated	2026-06-02T18:36:35+00:00	2026-06-02T18:42:12Z	337	0.001573	32	0.000333	0.001906
i-0ae292f9d48da4b87	x86	t3.small	terminated	2026-06-02T18:51:09+00:00	2026-06-02T18:56:36Z	327	0.001889	32	0.000323	0.002212
i-0836bb3607c88c4d5	arm64	t4g.small	terminated	2026-06-02T18:43:52+00:00	2026-06-02T18:49:22Z	330	0.001540	32	0.000326	0.001866

arch	total_wall_seconds	compute_usd	ebs_usd	total_usd
arm64	1356	0.006329	0.001339	0.007668
x86	1439	0.008313	0.001421	0.009734
all	2795	0.014642	0.002760	0.017402
