runtime	benchmarks	wins_lt_0_98	neutral_0_98_1_02	losses_gt_1_02	geomean_treatment_over_control	selected_benchmark_ratio
kernel	29	2	24	3	1.0054495151534038	1.01875
native	29	2	21	6	1.0094146301452656	1.0227272727272727
