group	benchmark	runtime	samples	passed_samples	failed_samples	median_exec_ns	min_exec_ns	max_exec_ns
control-disabled	bitmap_popcount_scan	native	3	3	0	1613	1613	1614
control-disabled	bpf_local_call_fanout_dispatch	native	3	3	0	114	114	115
control-disabled	bpftrace_comm_key_fnv_hash	native	3	3	0	1288	1287	1288
control-disabled	bpftrace_string_search_prefix_scan	native	3	3	0	357	353	360
control-disabled	cgroup_skb_hash_chain	native	3	3	0	422	421	422
control-disabled	cilium_ct_nat_tuple_rewrite	native	3	3	0	198	197	202
control-disabled	cilium_policy_guard_tree_filter	native	3	3	0	123	122	124
control-disabled	cilium_socket_lb_service_select	native	3	3	0	329	329	329
control-disabled	flow_5tuple_rss_hash	native	3	3	0	18	18	18
control-disabled	flow_record_field_scan	native	3	3	0	107	107	107
control-disabled	katran_lb_consistent_hash_select	native	3	3	0	27	27	28
control-disabled	otel_stack_frame_unwind_scan	native	3	3	0	136	117	140
control-disabled	packed_header_bitfield_decode	native	3	3	0	511	504	516
control-disabled	packet_checksum_fold	native	3	3	0	26070	26070	26249
control-disabled	packet_record_bounds_window	native	3	3	0	148	148	150
control-disabled	packet_toeplitz_rss_hash	native	3	3	0	375	374	376
control-disabled	packet_vlan_tcpopt_parser	native	3	3	0	19	18	19
control-disabled	payload_prefix_memcmp_scan	native	3	3	0	169	168	169
control-disabled	simple	native	3	3	0	4	4	4
control-disabled	simple_packet	native	3	3	0	4	4	4
control-disabled	siphash_rotate64_mixer	native	3	3	0	44	44	44
control-disabled	sorted_rule_binary_search	native	3	3	0	720	719	721
control-disabled	tc_packet_checksum_fold	native	3	3	0	26214	26092	28875
control-disabled	tetragon_process_event_arg_filter	native	3	3	0	275	275	276
control-disabled	trace_event_type_switch_dispatch	native	3	3	0	634	633	634
control-disabled	tracee_http_method_prefix_detect	native	3	3	0	38	38	42
control-disabled	tracee_syscall_name_table_lookup	native	3	3	0	259	259	260
treatment-ldr-only	bcc_runqlat_log2_histogram_bucket	kernel	3	3	0	4002	3985	4014
treatment-ldr-only	bcc_tcpconnect_ipv4_tuple_filter	kernel	3	3	0	319	318	321
treatment-ldr-only	bitmap_popcount_scan	kernel	3	3	0	2305	2288	2482
treatment-ldr-only	bpf_local_call_fanout_dispatch	kernel	3	3	0	331	325	346
treatment-ldr-only	bpftrace_comm_key_fnv_hash	kernel	3	3	0	1657	1656	1715
treatment-ldr-only	bpftrace_string_search_prefix_scan	kernel	3	3	0	516	511	529
treatment-ldr-only	cgroup_skb_hash_chain	kernel	3	3	0	1044	1038	1045
treatment-ldr-only	cilium_ct_nat_tuple_rewrite	kernel	3	3	0	474	474	474
treatment-ldr-only	cilium_policy_guard_tree_filter	kernel	3	3	0	243	242	243
treatment-ldr-only	cilium_socket_lb_service_select	kernel	3	3	0	1042	1033	1043
treatment-ldr-only	flow_5tuple_rss_hash	kernel	3	3	0	48	48	49
treatment-ldr-only	flow_record_field_scan	kernel	3	3	0	186	186	223
treatment-ldr-only	katran_lb_consistent_hash_select	kernel	3	3	0	61	61	71
treatment-ldr-only	otel_stack_frame_unwind_scan	kernel	3	3	0	381	381	381
treatment-ldr-only	packed_header_bitfield_decode	kernel	3	3	0	936	936	936
treatment-ldr-only	packet_checksum_fold	kernel	3	3	0	33044	33041	33703
treatment-ldr-only	packet_record_bounds_window	kernel	3	3	0	342	341	343
treatment-ldr-only	packet_toeplitz_rss_hash	kernel	3	3	0	479	472	531
treatment-ldr-only	packet_vlan_tcpopt_parser	kernel	3	3	0	45	45	48
treatment-ldr-only	payload_prefix_memcmp_scan	kernel	3	3	0	285	285	288
treatment-ldr-only	simple	kernel	3	3	0	16	16	16
treatment-ldr-only	simple_packet	kernel	3	3	0	16	15	17
treatment-ldr-only	siphash_rotate64_mixer	kernel	3	3	0	163	141	166
treatment-ldr-only	sorted_rule_binary_search	kernel	3	3	0	1933	1932	1933
treatment-ldr-only	tc_packet_checksum_fold	kernel	3	3	0	33163	33039	34817
treatment-ldr-only	tetragon_process_event_arg_filter	kernel	3	3	0	525	524	529
treatment-ldr-only	trace_event_type_switch_dispatch	kernel	3	3	0	681	680	698
treatment-ldr-only	tracee_http_method_prefix_detect	kernel	3	3	0	62	60	68
treatment-ldr-only	tracee_syscall_name_table_lookup	kernel	3	3	0	344	326	344
treatment-ldr-only	bcc_runqlat_log2_histogram_bucket	native	3	3	0	2215	2214	2292
treatment-ldr-only	bcc_tcpconnect_ipv4_tuple_filter	native	3	3	0	150	150	159
treatment-ldr-only	bitmap_popcount_scan	native	3	3	0	1612	1612	1746
treatment-ldr-only	bpf_local_call_fanout_dispatch	native	3	3	0	120	116	125
treatment-ldr-only	bpftrace_comm_key_fnv_hash	native	3	3	0	1293	1286	1376
treatment-ldr-only	bpftrace_string_search_prefix_scan	native	3	3	0	355	350	363
treatment-ldr-only	cgroup_skb_hash_chain	native	3	3	0	423	421	427
treatment-ldr-only	cilium_ct_nat_tuple_rewrite	native	3	3	0	198	198	201
treatment-ldr-only	cilium_policy_guard_tree_filter	native	3	3	0	124	123	125
treatment-ldr-only	cilium_socket_lb_service_select	native	3	3	0	329	328	329
treatment-ldr-only	flow_5tuple_rss_hash	native	3	3	0	18	18	18
treatment-ldr-only	flow_record_field_scan	native	3	3	0	107	106	107
treatment-ldr-only	katran_lb_consistent_hash_select	native	3	3	0	28	27	28
treatment-ldr-only	otel_stack_frame_unwind_scan	native	3	3	0	116	116	116
treatment-ldr-only	packed_header_bitfield_decode	native	3	3	0	504	502	525
treatment-ldr-only	packet_checksum_fold	native	3	3	0	26131	26070	26335
treatment-ldr-only	packet_record_bounds_window	native	3	3	0	158	147	174
treatment-ldr-only	packet_toeplitz_rss_hash	native	3	3	0	374	370	375
treatment-ldr-only	packet_vlan_tcpopt_parser	native	3	3	0	19	18	19
treatment-ldr-only	payload_prefix_memcmp_scan	native	3	3	0	169	168	169
treatment-ldr-only	simple	native	3	3	0	5	5	5
treatment-ldr-only	simple_packet	native	3	3	0	4	4	5
treatment-ldr-only	siphash_rotate64_mixer	native	3	3	0	45	44	47
treatment-ldr-only	sorted_rule_binary_search	native	3	3	0	719	719	720
treatment-ldr-only	tc_packet_checksum_fold	native	3	3	0	28507	27662	31564
treatment-ldr-only	tetragon_process_event_arg_filter	native	3	3	0	275	275	276
treatment-ldr-only	trace_event_type_switch_dispatch	native	3	3	0	632	632	636
treatment-ldr-only	tracee_http_method_prefix_detect	native	3	3	0	38	38	38
treatment-ldr-only	tracee_syscall_name_table_lookup	native	3	3	0	259	259	260
