item	unit_price_usd	unit	source_file
EC2 t4g.small Linux shared us-east-1	0.0168000000	hour	data/aws-price-ec2-t4g-small.json
EBS gp3 us-east-1	0.0800000000	GB-month	data/aws-price-ebs-gp3.json
