title,matched_title,venue,year,status,file,source,resolved_url,note
Jitterbug,Specification and Verification in the Field: Applying Formal Methods to BPF Just-in-Time Compilers in the Linux Kernel,OSDI'20,2020,downloaded,docs/reference/papers/01-jitterbug.pdf,pchaigno,https://unsat.cs.washington.edu/papers/nelson-jitterbug.pdf,
Synthesizing JIT Compilers for In-Kernel DSLs,Synthesizing JIT Compilers for In-Kernel DSLs,CAV'20,2020,downloaded,docs/reference/papers/02-synthesizing-jit-compilers-for-in-kernel-dsls.pdf,pchaigno,https://unsat.cs.washington.edu/papers/geffen-jitsynth.pdf,
End-to-End Mechanized Proof of eBPF VM for IoT,End-to-End Mechanized Proof of a JIT-Accelerated eBPF Virtual Machine for IoT,CAV'24,2024,downloaded,docs/reference/papers/03-end-to-end-mechanized-proof-of-ebpf-vm-for-iot.pdf,pchaigno,https://www.irisa.fr/prive/talpin/papers/cav24.pdf,
hXDP: Efficient Software Packet Processing on FPGA NICs,hXDP: Efficient Software Packet Processing on FPGA NICs,OSDI'20,2020,downloaded,docs/reference/papers/04-hxdp-efficient-software-packet-processing-on-fpga-nics.pdf,pchaigno,https://www.usenix.org/system/files/osdi20-brunella.pdf,
eBPF Program Warping on FPGA,Faster Software Packet Processing on FPGA NICs with eBPF Program Warping,ATC'22,2022,downloaded,docs/reference/papers/05-ebpf-program-warping-on-fpga.pdf,pchaigno,https://www.usenix.org/system/files/atc22-bonola.pdf,
eHDL: Turning eBPF/XDP Programs into Hardware Designs,eHDL: Turning eBPF/XDP Programs into Hardware Designs for the NIC,ASPLOS'23,2023,downloaded,docs/reference/papers/06-ehdl-turning-ebpf-xdp-programs-into-hardware-designs.pdf,pchaigno,https://pontarelli.di.uniroma1.it/publication/asplos23/asplos23.pdf,
K2,Synthesizing Safe and Efficient Kernel Extensions for Packet Processing,SIGCOMM'21,2021,downloaded,docs/reference/papers/07-k2.pdf,pchaigno,https://conferences.sigcomm.org/sigcomm/2021/files/papers/3452296.3472929.pdf,
Merlin,Merlin—rapid analysis of dense genetic maps using sparse gene flow trees,ASPLOS'24,2024,downloaded,docs/reference/papers/08-merlin.pdf,openalex,https://www.nature.com/articles/ng786z.pdf,
EPSO,EPSO: Evolutionary Particle Swarms,ASE'25,2025,downloaded,docs/reference/papers/09-epso.pdf,openalex,https://link.springer.com/content/pdf/10.1007/978-3-540-72377-6_6.pdf,
DSRO: Domain-Specific Run Time Optimization,DSRO: Domain-Specific Run Time Optimization,ASPLOS'22,2022,downloaded,docs/reference/papers/10-dsro-domain-specific-run-time-optimization.pdf,manual,https://sebymiano.github.io/publication/2022-morpheus/2022-morpheus_final.pdf,
KFuse,kFuse: A novel density based agglomerative clustering,EuroSys'22,2022,downloaded,docs/reference/papers/11-kfuse.pdf,openalex,https://arxiv.org/pdf/2505.05748,
BeeBox,BeeBox: Hardening BPF Against Transient Execution Attacks,Sec'24,2024,downloaded,docs/reference/papers/12-beebox.pdf,pchaigno,https://cs.brown.edu/~vpk/papers/beebox.sec24.pdf,
MOAT,MOAT: Towards Safe BPF Kernel Extension,Sec'24,2024,downloaded,docs/reference/papers/13-moat.pdf,pchaigno,https://www.usenix.org/system/files/usenixsecurity24-lu-hongyi.pdf,
Hive,Hive: A Hardware-assisted Isolated Execution Environment for eBPF on AArch64,Sec'24,2024,downloaded,docs/reference/papers/14-hive.pdf,pchaigno,https://www.usenix.org/system/files/usenixsecurity24-zhang-peihua.pdf,
SoK: Memory Safety for eBPF,SoK: Memory Safety for eBPF,S&P'25,2025,downloaded,docs/reference/papers/15-sok-memory-safety-for-ebpf.pdf,manual,https://www.cs.ucr.edu/~trentj/papers/huang25oakland.pdf,
BVF,,EuroSys'24,2024,missing,,,,request failed: 403 Client Error: Forbidden for url: https://downloads.hindawi.com/journals/ijrm/2014/845302.pdf
Validating eBPF Verifier via State Embedding,Validating the eBPF Verifier via State Embedding,OSDI'24,2024,downloaded,docs/reference/papers/17-validating-ebpf-verifier-via-state-embedding.pdf,pchaigno,https://www.usenix.org/system/files/osdi24-sun-hao.pdf,
eBPF Misbehavior Detection,eBPF Misbehavior Detection,SOSP'25,2025,downloaded,docs/reference/papers/18-ebpf-misbehavior-detection.pdf,manual,https://cs.uwaterloo.ca/~m285xu/assets/publication/ebpf_smt_fuzz-paper.pdf,
BCF (Prove It to the Kernel),BCF (Prove It to the Kernel),SOSP'25 (Best Paper),2025,downloaded,docs/reference/papers/19-bcf-prove-it-to-the-kernel.pdf,manual,https://haosun.info/assets/pdf/BCF.pdf,
PREVAIL,Simple and Precise Static Analysis of Untrusted Linux Kernel Extensions,PLDI'19,2019,downloaded,docs/reference/papers/20-prevail.pdf,pchaigno,https://seahorn.github.io/papers/ebpf-pldi19.pdf,
Agni,Verifying the Verifier: eBPF Range Analysis Verification,CAV'23 + SAS'25,2023,downloaded,docs/reference/papers/21-agni.pdf,pchaigno,https://people.cs.rutgers.edu/~sn349/papers/agni-cav2023.pdf,
VEP,VEP: A Two-stage Verification Toolchain for Full eBPF Programmability,NSDI'25,2025,downloaded,docs/reference/papers/22-vep.pdf,pchaigno,https://www.usenix.org/system/files/nsdi25-wu-xiwei.pdf,
Rex,Rex: Closing the language-verifier gap with safe and usable kernel extensions,ATC'25,2025,downloaded,docs/reference/papers/23-rex.pdf,pchaigno,https://www.usenix.org/system/files/atc25-jia.pdf,
"Fast, Flexible, and Practical Kernel Extensions","Fast, Flexible, and Practical Kernel Extensions",SOSP'24,2024,downloaded,docs/reference/papers/24-fast-flexible-and-practical-kernel-extensions.pdf,pchaigno,https://rs3lab.github.io/assets/papers/2024/dwivedi:kflex.pdf,
Toss a Fault to BpfChecker,Toss a Fault to BpfChecker,CCS'24,2024,downloaded,docs/reference/papers/25-toss-a-fault-to-bpfchecker.pdf,manual,https://www.yajin.org/papers/CCS2024_BpfChecker.pdf,
VeriFence,VeriFence: Lightweight and Precise Spectre Defenses for Untrusted Linux Kernel Extensions,RAID'24,2024,downloaded,docs/reference/papers/26-verifence.pdf,openalex,https://arxiv.org/pdf/2405.00078,
SafeBPF,SafeBPF,CCSW'24,2024,downloaded,docs/reference/papers/27-safebpf.pdf,manual,https://tfjmp.org/publications/2024-ccsw.pdf,
Flow Hijacking in eBPF,Flow Hijacking in eBPF: Exploitation and Mitigation Across both Interpreter and JIT Execution,IJIS'25 (Springer),2025,downloaded,docs/reference/papers/28-flow-hijacking-in-ebpf.pdf,openalex,https://link.springer.com/content/pdf/10.1007/s10207-025-01124-x.pdf,
BPFGuard,,IEEE TCC'25,2025,missing,,,,
Enabling eBPF on Embedded Systems Through Decoupled Verification,Enabling eBPF on Embedded Systems Through Decoupled Verification,eBPF Workshop'23,2023,downloaded,docs/reference/papers/30-enabling-ebpf-on-embedded-systems-through-decoupled-verification.pdf,openalex,https://vtechworks.lib.vt.edu/server/api/core/bitstreams/1bc694bb-eeb7-47fc-af26-81dd1b227fe2/content,
Demystifying Performance of eBPF Network Applications,Demystifying Performance of eBPF Network Applications,CoNEXT'25,2025,downloaded,docs/reference/papers/31-demystifying-performance-of-ebpf-network-applications.pdf,manual,https://cs.nyu.edu/~apanda/assets/papers/conext25.pdf,
eNetSTL,eNetSTL,EuroSys'25,2025,downloaded,docs/reference/papers/32-enetstl.pdf,manual,https://snowzjx.me/assets/enetstl-eurosys25.pdf,
BMC: Accelerating Memcached,BMC: Accelerating Memcached using Safe In-kernel Caching and Pre-stack Processing,NSDI'21,2021,downloaded,docs/reference/papers/33-bmc-accelerating-memcached.pdf,openalex,https://inria.hal.science/hal-03361644v1/file/main.pdf,
Electrode,Electrode: Accelerating Distributed Protocols with eBPF,NSDI'23,2023,downloaded,docs/reference/papers/34-electrode.pdf,pchaigno,https://www.usenix.org/system/files/nsdi23-zhou.pdf,
DINT,DINT: Fast In-Kernel Distributed Transactions with eBPF,NSDI'24,2024,downloaded,docs/reference/papers/35-dint.pdf,pchaigno,https://www.usenix.org/system/files/nsdi24-zhou-yang.pdf,
eTran,eTran: Extensible Kernel Transport with eBPF,NSDI'25,2025,downloaded,docs/reference/papers/36-etran.pdf,pchaigno,https://www.usenix.org/system/files/nsdi25-chen-zhongjie.pdf,
State-Compute Replication,State-Compute Replication: Parallelizing High-Speed Stateful Packet Processing,NSDI'25,2025,downloaded,docs/reference/papers/37-state-compute-replication.pdf,pchaigno,https://www.usenix.org/system/files/nsdi25-xu-qiongwen.pdf,
SPRIGHT,SPRIGHT: A Fast and Robust Framework for Sparse Walsh-Hadamard Transform,SIGCOMM'22,2022,downloaded,docs/reference/papers/38-spright.pdf,openalex,https://arxiv.org/pdf/1508.06336,
Hermes,Hermes: Enhancing Layer-7 Cloud Load Balancers with Userspace-Directed I/O Event Notification,SIGCOMM'25,2025,downloaded,docs/reference/papers/39-hermes.pdf,pchaigno,https://ng-95.github.io/files/Hermes_SIGCOMM25.pdf,
NetEdit,NetEdit: An Orchestration Platform for eBPF Network Functions at Scale,SIGCOMM'24,2024,downloaded,docs/reference/papers/40-netedit.pdf,pchaigno,https://cs.stanford.edu/~keithw/sigcomm2024/sigcomm24-final159-acmpaginated.pdf,
Tigger,Tigger: A Database Proxy That Bounces with User-Bypass,VLDB'23,2023,downloaded,docs/reference/papers/41-tigger.pdf,pchaigno,https://www.vldb.org/pvldb/vol16/p3335-butrovich.pdf,
uXDP,uXDP,eBPF Workshop'25,2025,downloaded,docs/reference/papers/42-uxdp.pdf,manual,https://marioskogias.github.io/docs/uxdp.pdf,
X2DP,,SIGCOMM'25 Poster,2025,missing,,,,
InXpect,,eBPF Workshop'25,2025,missing,,,,
AF_XDP + Programmable NICs,AF_XDP + Programmable NICs,eBPF Workshop'25,2025,downloaded,docs/reference/papers/45-af-xdp-programmable-nics.pdf,manual,https://cs.nyu.edu/~apanda/assets/papers/ebpf25.pdf,
bpftime (EIM),Extending Applications Safely and Efficiently,OSDI'25,2025,downloaded,docs/reference/papers/46-bpftime-eim.pdf,pchaigno,https://www.usenix.org/system/files/osdi25-zheng-yusheng.pdf,
cache_ext,cache_ext: Customizing the Page Cache with eBPF,SOSP'25,2025,downloaded,docs/reference/papers/47-cache-ext.pdf,pchaigno,https://arxiv.org/pdf/2502.02750,
PageFlex,PageFlex: Flexible and Efficient User-space Delegation of Linux Paging Policies with eBPF,ATC'25,2025,downloaded,docs/reference/papers/48-pageflex.pdf,pchaigno,https://www.usenix.org/system/files/atc25-yelam.pdf,
FetchBPF,FetchBPF: Customizable Prefetching Policies in Linux with eBPF,ATC'24,2024,downloaded,docs/reference/papers/49-fetchbpf.pdf,pchaigno,https://www.usenix.org/system/files/atc24-cao.pdf,
XRP,XRP: In-Kernel Storage Functions with eBPF,OSDI'22,2022,downloaded,docs/reference/papers/50-xrp.pdf,pchaigno,https://www.usenix.org/system/files/osdi22-zhong_1.pdf,
BPF-DB,BPF-DB,SIGMOD'25,2025,downloaded,docs/reference/papers/51-bpf-db.pdf,manual,https://db.cs.cmu.edu/papers/2025/butrovich-sigmod2025.pdf,
Syrup,Syrup: User-Defined Scheduling Across the Stack,SOSP'21,2021,downloaded,docs/reference/papers/52-syrup.pdf,pchaigno,https://www.scs.stanford.edu/~dm/home/papers/kaffes:syrup.pdf,
DepSurf,DepSurf,EuroSys'25,2025,downloaded,docs/reference/papers/53-depsurf.pdf,manual,https://depsurf.github.io/assets/paper.pdf,
