arch	run_token	result_dir	instance_id	instance_type	launch_time	terminate_time	kernel	perf_event_paranoid	status	sites_matched	sites_applied	insn_delta	exec_ns	wall_exec_ns	cycles	instructions	cache_references	cache_misses	task_clock_ns	context_switches	perf_collected	perf_error
x86	pmu-x86-smoke	aws_x86_micro_20260602_064029_890900	i-08184e086166517da	t3.small	2026-06-02T06:34:59+00:00	2026-06-02 06:40:35 GMT	7.0.0-rc2+	2	completed	1	1	2	8116	12910					75050108	2	True	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	pmu-arm64-smoke	aws_arm64_micro_20260602_064813_166189	i-0891ad85a1f8315dd	t4g.small	2026-06-02T06:42:25+00:00	2026-06-02 06:48:18 GMT	7.0.0-rc2+	2	completed	1	1	2	14501	None	351612550				145164801	3	True	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
