case	sample	sites_matched	sites_applied	sites_skipped	insn_count_before	insn_count_after	insn_delta	skip_reasons	path
struct-field	00	3	3	0	343	349	6	{}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_121851_379231/details/bpfopt_runs/prefetch_struct_field_fixed_offsets__kernel__sample00/step1-prefetch.report.json
struct-field	01	3	3	0	343	349	6	{}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_121851_379231/details/bpfopt_runs/prefetch_struct_field_fixed_offsets__kernel__sample01/step1-prefetch.report.json
struct-field	02	3	3	0	343	349	6	{}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_121851_379231/details/bpfopt_runs/prefetch_struct_field_fixed_offsets__kernel__sample02/step1-prefetch.report.json
mixed-policy-table	00	17	1	16	325	327	2	{"map value prefetch requires profile or PMU evidence for pc 100": 1, "map value prefetch requires profile or PMU evidence for pc 108": 1, "map value prefetch requires profile or PMU evidence for pc 122": 1, "map value prefetch requires profile or PMU evidence for pc 130": 1, "map value prefetch requires profile or PMU evidence for pc 143": 1, "map value prefetch requires profile or PMU evidence for pc 147": 1, "map value prefetch requires profile or PMU evidence for pc 23": 1, "map value prefetch requires profile or PMU evidence for pc 24": 1, "map value prefetch requires profile or PMU evidence for pc 32": 1, "map value prefetch requires profile or PMU evidence for pc 35": 1, "map value prefetch requires profile or PMU evidence for pc 38": 1, "map value prefetch requires profile or PMU evidence for pc 41": 1, "map value prefetch requires profile or PMU evidence for pc 44": 1, "map value prefetch requires profile or PMU evidence for pc 49": 1, "map value prefetch requires profile or PMU evidence for pc 95": 1, "map value prefetch requires profile or PMU evidence for pc 96": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_123246_004133/details/bpfopt_runs/prefetch_mixed_policy_table__kernel__sample00/step1-prefetch.report.json
mixed-policy-table	01	17	1	16	325	327	2	{"map value prefetch requires profile or PMU evidence for pc 100": 1, "map value prefetch requires profile or PMU evidence for pc 108": 1, "map value prefetch requires profile or PMU evidence for pc 122": 1, "map value prefetch requires profile or PMU evidence for pc 130": 1, "map value prefetch requires profile or PMU evidence for pc 143": 1, "map value prefetch requires profile or PMU evidence for pc 147": 1, "map value prefetch requires profile or PMU evidence for pc 23": 1, "map value prefetch requires profile or PMU evidence for pc 24": 1, "map value prefetch requires profile or PMU evidence for pc 32": 1, "map value prefetch requires profile or PMU evidence for pc 35": 1, "map value prefetch requires profile or PMU evidence for pc 38": 1, "map value prefetch requires profile or PMU evidence for pc 41": 1, "map value prefetch requires profile or PMU evidence for pc 44": 1, "map value prefetch requires profile or PMU evidence for pc 49": 1, "map value prefetch requires profile or PMU evidence for pc 95": 1, "map value prefetch requires profile or PMU evidence for pc 96": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_123246_004133/details/bpfopt_runs/prefetch_mixed_policy_table__kernel__sample01/step1-prefetch.report.json
mixed-policy-table	02	17	1	16	325	327	2	{"map value prefetch requires profile or PMU evidence for pc 100": 1, "map value prefetch requires profile or PMU evidence for pc 108": 1, "map value prefetch requires profile or PMU evidence for pc 122": 1, "map value prefetch requires profile or PMU evidence for pc 130": 1, "map value prefetch requires profile or PMU evidence for pc 143": 1, "map value prefetch requires profile or PMU evidence for pc 147": 1, "map value prefetch requires profile or PMU evidence for pc 23": 1, "map value prefetch requires profile or PMU evidence for pc 24": 1, "map value prefetch requires profile or PMU evidence for pc 32": 1, "map value prefetch requires profile or PMU evidence for pc 35": 1, "map value prefetch requires profile or PMU evidence for pc 38": 1, "map value prefetch requires profile or PMU evidence for pc 41": 1, "map value prefetch requires profile or PMU evidence for pc 44": 1, "map value prefetch requires profile or PMU evidence for pc 49": 1, "map value prefetch requires profile or PMU evidence for pc 95": 1, "map value prefetch requires profile or PMU evidence for pc 96": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_123246_004133/details/bpfopt_runs/prefetch_mixed_policy_table__kernel__sample02/step1-prefetch.report.json
stream-of-strides	00	18	2	16	325	329	4	{"map value prefetch requires profile or PMU evidence for pc 103": 1, "map value prefetch requires profile or PMU evidence for pc 111": 1, "map value prefetch requires profile or PMU evidence for pc 124": 1, "map value prefetch requires profile or PMU evidence for pc 128": 1, "map value prefetch requires profile or PMU evidence for pc 138": 1, "map value prefetch requires profile or PMU evidence for pc 139": 1, "map value prefetch requires profile or PMU evidence for pc 171": 1, "map value prefetch requires profile or PMU evidence for pc 186": 1, "map value prefetch requires profile or PMU evidence for pc 195": 1, "map value prefetch requires profile or PMU evidence for pc 204": 1, "map value prefetch requires profile or PMU evidence for pc 216": 1, "map value prefetch requires profile or PMU evidence for pc 226": 1, "map value prefetch requires profile or PMU evidence for pc 72": 1, "map value prefetch requires profile or PMU evidence for pc 73": 1, "map value prefetch requires profile or PMU evidence for pc 78": 1, "map value prefetch requires profile or PMU evidence for pc 86": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_124601_021206/details/bpfopt_runs/prefetch_stream_of_strides__kernel__sample00/step1-prefetch.report.json
stream-of-strides	01	18	2	16	325	329	4	{"map value prefetch requires profile or PMU evidence for pc 103": 1, "map value prefetch requires profile or PMU evidence for pc 111": 1, "map value prefetch requires profile or PMU evidence for pc 124": 1, "map value prefetch requires profile or PMU evidence for pc 128": 1, "map value prefetch requires profile or PMU evidence for pc 138": 1, "map value prefetch requires profile or PMU evidence for pc 139": 1, "map value prefetch requires profile or PMU evidence for pc 171": 1, "map value prefetch requires profile or PMU evidence for pc 186": 1, "map value prefetch requires profile or PMU evidence for pc 195": 1, "map value prefetch requires profile or PMU evidence for pc 204": 1, "map value prefetch requires profile or PMU evidence for pc 216": 1, "map value prefetch requires profile or PMU evidence for pc 226": 1, "map value prefetch requires profile or PMU evidence for pc 72": 1, "map value prefetch requires profile or PMU evidence for pc 73": 1, "map value prefetch requires profile or PMU evidence for pc 78": 1, "map value prefetch requires profile or PMU evidence for pc 86": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_124601_021206/details/bpfopt_runs/prefetch_stream_of_strides__kernel__sample01/step1-prefetch.report.json
stream-of-strides	02	18	2	16	325	329	4	{"map value prefetch requires profile or PMU evidence for pc 103": 1, "map value prefetch requires profile or PMU evidence for pc 111": 1, "map value prefetch requires profile or PMU evidence for pc 124": 1, "map value prefetch requires profile or PMU evidence for pc 128": 1, "map value prefetch requires profile or PMU evidence for pc 138": 1, "map value prefetch requires profile or PMU evidence for pc 139": 1, "map value prefetch requires profile or PMU evidence for pc 171": 1, "map value prefetch requires profile or PMU evidence for pc 186": 1, "map value prefetch requires profile or PMU evidence for pc 195": 1, "map value prefetch requires profile or PMU evidence for pc 204": 1, "map value prefetch requires profile or PMU evidence for pc 216": 1, "map value prefetch requires profile or PMU evidence for pc 226": 1, "map value prefetch requires profile or PMU evidence for pc 72": 1, "map value prefetch requires profile or PMU evidence for pc 73": 1, "map value prefetch requires profile or PMU evidence for pc 78": 1, "map value prefetch requires profile or PMU evidence for pc 86": 1}	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260604_124601_021206/details/bpfopt_runs/prefetch_stream_of_strides__kernel__sample02/step1-prefetch.report.json
