token	arch	round	condition	start_local	done_local	wall_seconds	instance_id
pfd-v3-arm64-r1-control	arm64	1	control	2026-06-01T21:53:54-04:00	2026-06-01T22:00:55-04:00	421.0	i-054ef73c190616bda
pfd-v3-arm64-r1-treatment	arm64	1	treatment	2026-06-01T22:00:55-04:00	2026-06-01T22:07:51-04:00	416.0	i-068e867f1ed364e80
pfd-v3-arm64-r2-control	arm64	2	control	2026-06-01T22:07:51-04:00	2026-06-01T22:16:52-04:00	541.0	i-0ac02ebd6279f3058
pfd-v3-arm64-r2-treatment	arm64	2	treatment	2026-06-01T22:16:52-04:00	2026-06-01T22:26:05-04:00	553.0	i-0fce42c882e1439d3
pfd-v3-arm64-r3-control	arm64	3	control	2026-06-01T22:26:05-04:00	2026-06-01T22:34:13-04:00	488.0	i-0ae985ff7c6bafdf7
pfd-v3-arm64-r3-treatment	arm64	3	treatment	2026-06-01T22:34:13-04:00	2026-06-01T22:42:21-04:00	488.0	i-0c9e49cadc4e6c36e
pfd-v3-x86-r1-control	x86	1	control	2026-06-01T21:12:59-04:00	2026-06-01T21:20:01-04:00	422.0	i-07e05c78f5265ec6b
pfd-v3-x86-r1-treatment	x86	1	treatment	2026-06-01T21:20:01-04:00	2026-06-01T21:26:47-04:00	406.0	i-02a3337b10bd4dc26
pfd-v3-x86-r2-control	x86	2	control	2026-06-01T21:26:47-04:00	2026-06-01T21:33:12-04:00	385.0	i-05d4b84bcda1d3b0b
pfd-v3-x86-r2-treatment	x86	2	treatment	2026-06-01T21:33:12-04:00	2026-06-01T21:40:13-04:00	421.0	i-04bdc19bd79e8620e
pfd-v3-x86-r3-control	x86	3	control	2026-06-01T21:40:13-04:00	2026-06-01T21:47:01-04:00	408.0	i-00f6f62ead0e189a4
pfd-v3-x86-r3-treatment	x86	3	treatment	2026-06-01T21:47:01-04:00	2026-06-01T21:53:54-04:00	413.0	i-00f099a3904007769
